"gene","kinetic_th0","kinetic_th1","kinetic_th2","kinetic_thmix"
"Tnks",FALSE,FALSE,FALSE,FALSE
"Gnaq",FALSE,TRUE,FALSE,FALSE
"Otud7b",FALSE,FALSE,FALSE,FALSE
"Zfp607",FALSE,FALSE,FALSE,FALSE
"Limk2",FALSE,FALSE,FALSE,FALSE
"Rexo4",FALSE,FALSE,FALSE,FALSE
"Il6ra",TRUE,TRUE,TRUE,TRUE
"Rorb",FALSE,FALSE,FALSE,FALSE
"Tarbp2",FALSE,FALSE,FALSE,FALSE
"Brd7",FALSE,FALSE,FALSE,FALSE
"Depdc1b",TRUE,TRUE,TRUE,TRUE
"EG630499",TRUE,FALSE,TRUE,FALSE
"Dusp4",TRUE,TRUE,TRUE,TRUE
"Tmpo",TRUE,FALSE,TRUE,FALSE
"Ppme1",TRUE,TRUE,TRUE,TRUE
"Slc35c2",FALSE,FALSE,FALSE,FALSE
"Tmem161b",FALSE,FALSE,FALSE,FALSE
"ORF19",FALSE,FALSE,FALSE,FALSE
"Pdzd8",FALSE,FALSE,FALSE,FALSE
"Cdc14b",TRUE,TRUE,TRUE,FALSE
"Ppp1r16a",FALSE,FALSE,FALSE,FALSE
"5730410I19Rik",FALSE,FALSE,FALSE,FALSE
"Ccdc85b",FALSE,FALSE,FALSE,FALSE
"C230052I12Rik",FALSE,TRUE,FALSE,FALSE
"Tacc1",TRUE,TRUE,TRUE,TRUE
"Insig1",TRUE,TRUE,TRUE,TRUE
"Cry2",FALSE,FALSE,FALSE,FALSE
"Peo1",FALSE,FALSE,FALSE,FALSE
"Susd4",FALSE,FALSE,FALSE,FALSE
"Foxp4",FALSE,FALSE,FALSE,FALSE
"Reep6",FALSE,FALSE,FALSE,FALSE
"Pnpt1",FALSE,FALSE,FALSE,FALSE
"Xpnpep3",FALSE,FALSE,FALSE,FALSE
"Armcx6",FALSE,FALSE,TRUE,TRUE
"Ankmy2",TRUE,TRUE,TRUE,TRUE
"Chek1",TRUE,TRUE,TRUE,TRUE
"Trim25",TRUE,FALSE,FALSE,FALSE
"3110001K24Rik",FALSE,FALSE,FALSE,FALSE
"1200016B10Rik",FALSE,FALSE,FALSE,FALSE
"Rnf20",FALSE,FALSE,FALSE,FALSE
"Rb1",FALSE,FALSE,TRUE,TRUE
"Rnf38",FALSE,FALSE,FALSE,FALSE
"Dhx16",FALSE,FALSE,FALSE,FALSE
"Tmem120a",FALSE,FALSE,FALSE,FALSE
"Brp44",FALSE,FALSE,FALSE,FALSE
"Pik3c2a",FALSE,FALSE,FALSE,FALSE
"Plcxd1",TRUE,TRUE,TRUE,TRUE
"Cideb",FALSE,FALSE,FALSE,FALSE
"Zfp652",FALSE,FALSE,FALSE,FALSE
"Rnf139",FALSE,FALSE,FALSE,FALSE
"Cxcl9",FALSE,FALSE,FALSE,FALSE
"Cdh24",FALSE,FALSE,FALSE,FALSE
"Mrpl52",FALSE,TRUE,TRUE,TRUE
"Dyrk1b",FALSE,FALSE,FALSE,FALSE
"Tmed10",FALSE,FALSE,TRUE,TRUE
"Stxbp1",FALSE,FALSE,FALSE,FALSE
"Syvn1",FALSE,FALSE,FALSE,FALSE
"Mobkl2c",FALSE,FALSE,FALSE,FALSE
"Rapgef2",TRUE,TRUE,TRUE,TRUE
"B9d2",FALSE,FALSE,TRUE,TRUE
"Slc35f4",FALSE,FALSE,FALSE,FALSE
"Cbx6",FALSE,FALSE,FALSE,FALSE
"Npas2",FALSE,FALSE,FALSE,FALSE
"Slc25a36",FALSE,FALSE,FALSE,FALSE
"Rg9mtd1",FALSE,FALSE,FALSE,FALSE
"Ubl7",FALSE,FALSE,TRUE,TRUE
"Ehd3",TRUE,TRUE,TRUE,TRUE
"Gm2a",TRUE,TRUE,TRUE,TRUE
"Khk",TRUE,TRUE,TRUE,FALSE
"Pcgf6",FALSE,FALSE,FALSE,FALSE
"Arl6ip4",FALSE,FALSE,FALSE,FALSE
"Epor",FALSE,FALSE,FALSE,FALSE
"Nt5dc3",FALSE,FALSE,FALSE,FALSE
"Mbd3l2",FALSE,FALSE,FALSE,FALSE
"Olfr665",FALSE,FALSE,FALSE,FALSE
"Hap1",FALSE,FALSE,FALSE,FALSE
"Capg",TRUE,TRUE,TRUE,FALSE
"Slc38a2",FALSE,FALSE,FALSE,TRUE
"Ptp4a1",FALSE,FALSE,FALSE,TRUE
"Cxcl12",FALSE,FALSE,FALSE,FALSE
"Shf",FALSE,FALSE,FALSE,FALSE
"Cacnb1",FALSE,FALSE,FALSE,FALSE
"Ppp2r5b",FALSE,FALSE,FALSE,FALSE
"Irak2",FALSE,FALSE,FALSE,FALSE
"Mak10",FALSE,FALSE,FALSE,FALSE
