"gene","kinetic_th1","kinetic_th2","kinetic_th0","kinetic_thmix"
"Tnks",FALSE,FALSE,FALSE,FALSE
"Gnaq",TRUE,FALSE,FALSE,FALSE
"Otud7b",FALSE,FALSE,FALSE,FALSE
"Zfp607",FALSE,FALSE,FALSE,FALSE
"Limk2",FALSE,FALSE,FALSE,FALSE
"Rexo4",FALSE,FALSE,FALSE,FALSE
"Il6ra",FALSE,FALSE,FALSE,FALSE
"Rorb",FALSE,FALSE,FALSE,FALSE
"Tarbp2",FALSE,FALSE,FALSE,FALSE
"Brd7",TRUE,TRUE,TRUE,FALSE
"Depdc1b",TRUE,TRUE,FALSE,FALSE
"EG630499",FALSE,TRUE,FALSE,FALSE
"Dusp4",FALSE,FALSE,FALSE,FALSE
"Tmpo",FALSE,FALSE,FALSE,FALSE
"Ppme1",FALSE,FALSE,FALSE,FALSE
"Slc35c2",FALSE,FALSE,FALSE,FALSE
"Tmem161b",FALSE,FALSE,FALSE,FALSE
"ORF19",FALSE,FALSE,FALSE,FALSE
"Pdzd8",FALSE,FALSE,TRUE,FALSE
"Cdc14b",FALSE,FALSE,FALSE,FALSE
"Ppp1r16a",FALSE,FALSE,FALSE,FALSE
"5730410I19Rik",FALSE,FALSE,FALSE,FALSE
"Ccdc85b",FALSE,FALSE,FALSE,FALSE
"C230052I12Rik",FALSE,FALSE,FALSE,FALSE
"Tacc1",TRUE,TRUE,TRUE,TRUE
"Insig1",FALSE,FALSE,FALSE,FALSE
"Cry2",FALSE,FALSE,FALSE,FALSE
"Peo1",FALSE,TRUE,TRUE,FALSE
"Susd4",FALSE,FALSE,FALSE,FALSE
"Foxp4",FALSE,FALSE,FALSE,FALSE
"Reep6",FALSE,FALSE,FALSE,FALSE
"Pnpt1",FALSE,FALSE,FALSE,FALSE
"Xpnpep3",FALSE,FALSE,FALSE,FALSE
"Armcx6",TRUE,TRUE,FALSE,TRUE
"Ankmy2",FALSE,FALSE,FALSE,FALSE
"Chek1",FALSE,TRUE,TRUE,FALSE
"Trim25",FALSE,FALSE,TRUE,FALSE
"3110001K24Rik",FALSE,FALSE,FALSE,FALSE
"1200016B10Rik",FALSE,FALSE,FALSE,FALSE
"Rnf20",FALSE,FALSE,FALSE,FALSE
"Rb1",FALSE,FALSE,FALSE,FALSE
"Rnf38",FALSE,FALSE,FALSE,FALSE
"Dhx16",FALSE,FALSE,FALSE,FALSE
"Tmem120a",FALSE,FALSE,TRUE,FALSE
"Brp44",FALSE,FALSE,FALSE,FALSE
"Pik3c2a",FALSE,FALSE,FALSE,FALSE
"Plcxd1",TRUE,FALSE,TRUE,TRUE
"Cideb",FALSE,FALSE,FALSE,FALSE
"Zfp652",FALSE,FALSE,FALSE,FALSE
"Rnf139",FALSE,FALSE,FALSE,FALSE
"Cxcl9",FALSE,FALSE,FALSE,FALSE
"Cdh24",FALSE,FALSE,FALSE,FALSE
"Mrpl52",TRUE,FALSE,FALSE,FALSE
"Dyrk1b",FALSE,FALSE,FALSE,FALSE
"Tmed10",FALSE,FALSE,FALSE,FALSE
"Stxbp1",FALSE,FALSE,FALSE,FALSE
"Syvn1",FALSE,FALSE,FALSE,FALSE
"Mobkl2c",FALSE,FALSE,FALSE,FALSE
"Rapgef2",TRUE,TRUE,TRUE,FALSE
"B9d2",FALSE,TRUE,FALSE,FALSE
"Slc35f4",FALSE,FALSE,FALSE,FALSE
"Cbx6",FALSE,FALSE,FALSE,FALSE
"Npas2",FALSE,FALSE,FALSE,FALSE
"Slc25a36",FALSE,FALSE,FALSE,FALSE
"Rg9mtd1",TRUE,FALSE,FALSE,FALSE
"Ubl7",FALSE,TRUE,FALSE,TRUE
"Ehd3",FALSE,FALSE,FALSE,FALSE
"Gm2a",FALSE,FALSE,FALSE,FALSE
"Khk",FALSE,FALSE,FALSE,FALSE
"Pcgf6",FALSE,FALSE,FALSE,FALSE
"Arl6ip4",FALSE,FALSE,FALSE,FALSE
"Epor",FALSE,FALSE,FALSE,FALSE
"Nt5dc3",FALSE,FALSE,FALSE,FALSE
"Mbd3l2",FALSE,FALSE,FALSE,FALSE
"Olfr665",FALSE,FALSE,FALSE,FALSE
"Hap1",FALSE,FALSE,TRUE,FALSE
"Capg",TRUE,TRUE,TRUE,FALSE
"Slc38a2",FALSE,FALSE,FALSE,FALSE
"Ptp4a1",FALSE,FALSE,FALSE,FALSE
"Cxcl12",FALSE,FALSE,FALSE,FALSE
"Shf",FALSE,FALSE,FALSE,FALSE
"Cacnb1",FALSE,FALSE,FALSE,FALSE
"Ppp2r5b",FALSE,FALSE,FALSE,FALSE
"Irak2",FALSE,FALSE,FALSE,FALSE
"Mak10",TRUE,FALSE,TRUE,FALSE
"Kng2",FALSE,FALSE,FALSE,FALSE
"Cyp26b1",FALSE,FALSE,FALSE,FALSE
"Crygn",FALSE,FALSE,FALSE,FALSE
"Cfl2",FALSE,FALSE,FALSE,FALSE
"Nrbp1",TRUE,TRUE,TRUE,FALSE
"Atg3",FALSE,FALSE,FALSE,FALSE
"Midn",FALSE,FALSE,FALSE,FALSE
"Mtrf1",FALSE,FALSE,FALSE,FALSE
"Xkr7",FALSE,FALSE,FALSE,FALSE
"Med17",FALSE,FALSE,FALSE,FALSE
"Akap7",TRUE,TRUE,FALSE,TRUE
"Fbxl10",FALSE,FALSE,FALSE,FALSE
"C030003D03Rik",FALSE,FALSE,FALSE,FALSE
"Dhrs13",FALSE,FALSE,FALSE,FALSE
"Itga5",FALSE,FALSE,FALSE,FALSE
"Podxl2",FALSE,FALSE,FALSE,FALSE
"Hat1",FALSE,FALSE,FALSE,FALSE
"Chmp5",FALSE,FALSE,FALSE,FALSE
"Phldb1",FALSE,FALSE,FALSE,FALSE
"Lmf1",FALSE,FALSE,FALSE,FALSE
"G0s2",FALSE,FALSE,FALSE,FALSE
"Il17a",FALSE,FALSE,FALSE,FALSE
"BC017647",FALSE,FALSE,FALSE,FALSE
"Plcz1",FALSE,TRUE,FALSE,FALSE
"Tmco3",FALSE,TRUE,TRUE,TRUE
"Bxdc5",FALSE,FALSE,FALSE,FALSE
"4430402I18Rik",FALSE,FALSE,FALSE,FALSE
"Mtl5",FALSE,TRUE,FALSE,FALSE
"Gcc2",FALSE,FALSE,FALSE,FALSE
"A3galt2",FALSE,FALSE,FALSE,FALSE
"Olfr494",FALSE,FALSE,FALSE,FALSE
"Srpk3",FALSE,FALSE,FALSE,FALSE
"Per1",FALSE,FALSE,FALSE,FALSE
"Tyw1",FALSE,FALSE,FALSE,FALSE
"Coasy",FALSE,FALSE,FALSE,FALSE
"Suz12",FALSE,FALSE,FALSE,FALSE
"Tbxas1",FALSE,FALSE,FALSE,FALSE
"Pramel4",FALSE,FALSE,FALSE,FALSE
"Gabrp",FALSE,FALSE,FALSE,FALSE
"Cep97",FALSE,FALSE,FALSE,FALSE
"Mycbp2",FALSE,TRUE,FALSE,FALSE
"4632419K20Rik",FALSE,FALSE,FALSE,FALSE
"Cenpp",FALSE,FALSE,FALSE,FALSE
"Olfr924",FALSE,FALSE,FALSE,FALSE
"Slco1a5",FALSE,FALSE,FALSE,FALSE
"Olfr310",FALSE,FALSE,FALSE,FALSE
"Pdcl",FALSE,FALSE,FALSE,FALSE
"Acot10",FALSE,FALSE,FALSE,FALSE
"Wdr51b",FALSE,FALSE,FALSE,FALSE
"5730596K20Rik",FALSE,FALSE,FALSE,FALSE
"B230120H23Rik",FALSE,FALSE,FALSE,FALSE
"Raet1b.1",FALSE,FALSE,FALSE,FALSE
"Olfr799",FALSE,FALSE,FALSE,FALSE
"Bbs4",FALSE,FALSE,FALSE,FALSE
"Mterfd2",FALSE,FALSE,FALSE,FALSE
"Rer1",FALSE,FALSE,TRUE,FALSE
"Hist1h1c",FALSE,FALSE,FALSE,FALSE
"Mcrs1",FALSE,FALSE,FALSE,FALSE
"Cxcr5",FALSE,FALSE,FALSE,FALSE
"Trappc3",FALSE,FALSE,FALSE,FALSE
"Ppp1r11",FALSE,FALSE,FALSE,FALSE
"Herpud1",FALSE,FALSE,FALSE,FALSE
"AB124611",FALSE,FALSE,FALSE,FALSE
"4833442J19Rik",FALSE,FALSE,FALSE,FALSE
"Rasgrp4",FALSE,FALSE,FALSE,FALSE
"3110043J09Rik",TRUE,FALSE,FALSE,FALSE
"2400003C14Rik",FALSE,FALSE,FALSE,FALSE
"BC053749",FALSE,FALSE,FALSE,FALSE
"Zfp654",FALSE,FALSE,FALSE,FALSE
"4932431H17Rik",FALSE,FALSE,FALSE,FALSE
"Mutyh",FALSE,FALSE,FALSE,FALSE
"Rpl23",FALSE,FALSE,FALSE,FALSE
"Zfp287",FALSE,FALSE,FALSE,FALSE
"Fbxl8",FALSE,FALSE,FALSE,FALSE
"Lypla2",FALSE,FALSE,FALSE,FALSE
"Gzmm",FALSE,FALSE,FALSE,FALSE
"Cops7a",FALSE,FALSE,FALSE,FALSE
"Bat4",FALSE,FALSE,FALSE,FALSE
"Syngr2",TRUE,FALSE,FALSE,FALSE
"Zfp75",FALSE,FALSE,FALSE,FALSE
"Hbs1l",TRUE,FALSE,FALSE,FALSE
"Dgka",TRUE,FALSE,FALSE,FALSE
"Usp10",TRUE,TRUE,FALSE,FALSE
"BC061212",FALSE,FALSE,FALSE,FALSE
"Agpat3",TRUE,FALSE,FALSE,FALSE
"Nhsl1",FALSE,FALSE,FALSE,FALSE
"Arid4a",FALSE,FALSE,FALSE,FALSE
"Rbm5",TRUE,FALSE,TRUE,FALSE
"Mcph1",FALSE,FALSE,FALSE,FALSE
"Mat1a",FALSE,FALSE,FALSE,FALSE
"Pias1",TRUE,FALSE,TRUE,FALSE
"Egr3",FALSE,FALSE,FALSE,FALSE
"Ranbp3",FALSE,FALSE,FALSE,FALSE
"Ntan1",FALSE,FALSE,FALSE,FALSE
"Abpb",FALSE,FALSE,FALSE,FALSE
"Nr2f6",FALSE,FALSE,FALSE,FALSE
"Pkn2",FALSE,FALSE,FALSE,FALSE
"Gins3",FALSE,FALSE,FALSE,FALSE
"Lonp1",FALSE,FALSE,FALSE,FALSE
"Ube2j1",FALSE,TRUE,FALSE,FALSE
"Svopl",FALSE,FALSE,FALSE,FALSE
