"gene","Th1","Th2","category","model"
"1110059E24Rik.1",0.504752095992845,0.598386923142803,"Th2like","Th1/2"
"1110067D22Rik",0.0900305689508019,0.894241429079452,"Th2like","Th1/2"
"1500005A01Rik",0.340463125425149,0.678140175339495,"Th2like","Th1/2"
"1500011H22Rik",-0.256066702799784,1.15753944104382,"Th2like","Th1/2"
"1500012F01Rik",0.759269842219472,0.31396457865634,"Ind","Th1/2"
"1500012F01Rik.1",0.930188394455473,0.189457523059747,"Ind","Th1/2"
"1500019G21Rik",0.300845897424059,0.597806077114079,"Th2like","Th1/2"
"1600014C10Rik.1",0.589748595243279,0.387881299193182,"Ind","Th1/2"
"1700019D03Rik",0.790173068742483,-0.476189629741192,"Th1like","Th1/2"
"1700019E19Rik",0.15035701027325,0.882159450198411,"Th2like","Th1/2"
"1700025G04Rik",0.258986140662076,0.667609737979993,"Th2like","Th1/2"
"1700025K23Rik",-0.0113760750355036,0.888485673999808,"Th2like","Th1/2"
"1700102P08Rik",1.42369654874458,-0.368289572101563,"Ind","Th1/2"
"1700113I22Rik",0.787564886476074,0.0182555240004444,"Ind","Th1/2"
"1700113I22Rik.1",0.764881899922115,-0.121675409362223,"Ind","Th1/2"
"2010001M09Rik",0.212852114395698,0.974652541827623,"Th2like","Th1/2"
"2210012G02Rik.2",0.390040147435516,0.510067413643616,"Ind","Th1/2"
"2310004I24Rik",0.15952296045725,0.576186660903632,"Ind","Th1/2"
"2310016C08Rik",0.100968560692808,0.749246418185401,"Th2like","Th1/2"
"2310016E02Rik",0.13777631620117,0.766882512054028,"Th2like","Th1/2"
"2310022B05Rik",0.0737040511964462,0.776381894605437,"Th2like","Th1/2"
"2410008K03Rik",-0.586309500547014,1.5479371873353,"Th2like","Th1/2"
"2410022L05Rik",1.0294039332657,0.361478178327037,"Th1like","Th1/2"
"2410091C18Rik.1",0.370424272637846,0.448416362078413,"Ind","Th1/2"
"2510009E07Rik",0.184608841050001,0.744152126206087,"Th2like","Th1/2"
"2510009E07Rik.2",0.376095559508768,0.630772598829856,"Superpos","Th1/2"
"2610027C15Rik.1",0.453608791658325,0.562272285121562,"Th2like","Th1/2"
"2610207I05Rik.1",0.289659927431298,0.678238790831817,"Th2like","Th1/2"
"2810474O19Rik",0.272113269545946,0.804527569198933,"Ind","Th1/2"
"4631427C17Rik",0.530463004451432,0.706481304163696,"Th2like","Th1/2"
"4831426I19Rik.1",-0.309573454015374,0.997156290152601,"Ind","Th1/2"
"4930539E08Rik",0.320701696466893,0.651818749918682,"Superpos","Th1/2"
"4930570C03Rik",0.15928471531683,0.655432493270472,"Th2like","Th1/2"
"4931428F04Rik",0.166902581854787,0.968680452344896,"Th2like","Th1/2"
"4933426M11Rik",0.122446506673022,0.931307904424697,"Th2like","Th1/2"
"4933439C20Rik",0.0827745471719459,0.859294092237602,"Th2like","Th1/2"
"5730469M10Rik",0.311571551608862,0.732073055146383,"Th2like","Th1/2"
"5730469M10Rik.1",0.0341220563167277,0.851720609826141,"Th2like","Th1/2"
"6030408C04Rik.1",0.14224031840667,0.714442946434242,"Th2like","Th1/2"
"6430571L13Rik",1.17574977469725,0.374297386528767,"Superpos","Th1/2"
"6720463M24Rik",0.326777226459967,0.58406221315316,"Ind","Th1/2"
"9130211I03Rik",0.387871399734144,0.499670782763372,"Ind","Th1/2"
"9930104L06Rik",0.219109360916197,0.855321943275819,"Ind","Th1/2"
"9930111J21Rik",0.0020407407511973,0.798126823156084,"Th2like","Th1/2"
"a.1",0.532532102339553,0.625276646748877,"Superpos","Th1/2"
"A630077B13Rik",0.964367970427167,0.522595974959651,"Ind","Th1/2"
"AA467197",0.317671939723845,0.468920461663001,"Ind","Th1/2"
"Abhd14b",0.253973108156469,0.899734823285137,"Th2like","Th1/2"
"Abhd4",-0.415936302810007,1.17492662943171,"Th2like","Th1/2"
"Abtb1",0.182885662497488,0.87386951190987,"Th2like","Th1/2"
"Acsl6",0.492349425132934,-0.162921751217224,"Ind","Th1/2"
"Acsl6.2",0.391381394024014,-0.0854370146739952,"Ind","Th1/2"
"Acss1",0.240406535519003,0.878724724021688,"Th2like","Th1/2"
"Actr3b",0.744488845251594,0.212759847177125,"Ind","Th1/2"
"Actr3b.1",-0.241633276924891,0.761315946655083,"Ind","Th1/2"
"Acvr2b",0.0902887592693963,0.730469714522559,"Th2like","Th1/2"
"Adam15.1",0.0908623234671268,0.971305373894922,"Th2like","Th1/2"
"Adamtsl4",0.0163879893938684,1.05808781560555,"Th2like","Th1/2"
"Adar",0.128540116723564,0.408959670087976,"Ind","Th1/2"
"Adh4",0.01734786952409,0.976126095486871,"Th2like","Th1/2"
"Adora2b",0.426287746819858,0.283633263385745,"Ind","Th1/2"
"Adora3.1",-0.10611756763442,0.427573712970605,"Th2like","Th1/2"
"Aff4",0.748261114051523,0.220138002352528,"Th1like","Th1/2"
"Agl.1",0.223602263424032,0.869199965984748,"Th2like","Th1/2"
"Agrn",0.641537553479693,0.0597076738186922,"Th1like","Th1/2"
"AI451557",0.365072661487496,0.458865790801737,"Th2like","Th1/2"
"AI451617",-0.0862734932951493,-0.485381276613396,"Ind","Th1/2"
"Aifm2.3",0.105929339051638,0.782693026431002,"Th2like","Th1/2"
"Akap7",0.228780576476106,0.750434228260151,"Th2like","Th1/2"
"Akr1b3",-0.205754063472036,1.0016990049918,"Th2like","Th1/2"
"Akr1c18",0.00174182233233748,0.945106431513199,"Th2like","Th1/2"
"Aldoc",0.317963455864935,0.68549799555458,"Th2like","Th1/2"
"Amica1",0.234021645674269,0.92235690761287,"Ind","Th1/2"
"Amigo2",0.318885928020941,0.770285887035151,"Th2like","Th1/2"
"Angel2",0.372315233653621,0.72570636895305,"Th2like","Th1/2"
"Ankrd12.2",0.346467521765364,0.773387540532324,"Th2like","Th1/2"
"Ankrd37",-0.0114572870845752,0.748255718704719,"Th2like","Th1/2"
"Anp32e",0.373280902774899,0.463595078545685,"Th2like","Th1/2"
"Antxr2",0.433094871357713,0.769211725161275,"Th2like","Th1/2"
"Anxa9",0.153498829941676,1.07286513092637,"Th2like","Th1/2"
"Apbb1ip",-0.698784950258583,1.37894820605248,"Th2like","Th1/2"
"Aqp9",0.501335122308851,0.756518885317405,"Superpos","Th1/2"
"Arbp",0.48699757174592,0.577781264115141,"Th2like","Th1/2"
"Arhgap18",0.125323200203665,0.997301260115864,"Th2like","Th1/2"
"Arhgdig",0.069177351656654,1.07740446172793,"Th2like","Th1/2"
"Arhgdig.1",0.26784767597537,0.8721876394248,"Th2like","Th1/2"
"Arl6",-0.209668306771198,1.18836711318497,"Th2like","Th1/2"
"Armc3.1",0.0183906830773368,0.934529932268915,"Th2like","Th1/2"
"Armcx1",0.553964412585568,0.41612166642668,"Th2like","Th1/2"
"Armcx3",0.373913431877655,0.677331782863589,"Th2like","Th1/2"
"Armcx6",0.262096009474275,0.830351690422544,"Th2like","Th1/2"
"Armcx6.1",0.549370402458158,0.502943341800697,"Th2like","Th1/2"
"Asah2",0.178370923581067,0.85452838216313,"Th2like","Th1/2"
"Asb13.1",0.279622243271397,0.639352467115852,"Th2like","Th1/2"
"Asb2",-0.215709609589058,1.07920273321758,"Th2like","Th1/2"
"Atg2a.1",-0.0454389917271998,1.15308392675938,"Th2like","Th1/2"
"Atp10a",-0.234601872469413,0.969853060501135,"Th2like","Th1/2"
"Atp10d",0.220785976720501,0.746398429692417,"Th2like","Th1/2"
"Atp8b4",0.371279969112686,0.865658334207891,"Th2like","Th1/2"
"Atxn7l1",0.180272141678267,0.855243526861781,"Th2like","Th1/2"
"Aven",-0.259811858539149,1.08642540135828,"Th2like","Th1/2"
"Axl",0.0375808882965423,0.759846044373152,"Th2like","Th1/2"
"B230342M21Rik",0.488717905206336,0.707199065261743,"Superpos","Th1/2"
"B3gnt5",0.452792769715906,0.647778845058882,"Th2like","Th1/2"
"B930041F14Rik",0.340223129038074,0.641563882266851,"Superpos","Th1/2"
"Batf",-0.153918587496279,0.996253782620367,"Th2like","Th1/2"
"Batf3",0.675112187678034,0.267116854930609,"Ind","Th1/2"
"Bbs12",0.523162667681964,0.370543917945821,"Ind","Th1/2"
"BC006779",0.2180946394783,0.603005021563586,"Th2like","Th1/2"
"BC016495",0.190934157781118,0.80558177431921,"Th2like","Th1/2"
"BC038156",0.370022434786476,0.607396862741073,"Th2like","Th1/2"
"BC057079",-0.0738083140453535,1.00935131894982,"Th2like","Th1/2"
"BC094916",0.0728725266716408,0.930493524493036,"Th2like","Th1/2"
"BC094916.1",0.270792809971311,0.812303947758354,"Superpos","Th1/2"
"Bcl2.1",0.318557644305895,0.59682048653907,"Th2like","Th1/2"
"Bmpr1a",0.100796061303,0.850862616794807,"Th2like","Th1/2"
"Bmpr1a.1",0.916139772559107,0.424631919284066,"Ind","Th1/2"
"Brp16.1",0.553310403795014,0.425803929106652,"Th2like","Th1/2"
"Bst2",0.310651641992574,0.247547415092311,"Ind","Th1/2"
"Btk",0.173087784694394,0.935462850711447,"Th2like","Th1/2"
"Btla",0.0493067843960762,0.967654395752562,"Th2like","Th1/2"
"Bzrap1",0.663190577316182,0.42597551114241,"Superpos","Th1/2"
"Bzw2",0.339971279860804,0.659802398803272,"Th2like","Th1/2"
"C030048B08Rik",0.222728976617999,0.659190433436009,"Th2like","Th1/2"
"C030048B08Rik.1",0.304034949029094,0.676971850535396,"Ind","Th1/2"
"C1qdc2",0.207583935704224,0.723493164834769,"Th2like","Th1/2"
"C730027P07Rik",-1.95553062574544,0.833293334007359,"Th2like","Th1/2"
"Capsl",0.226556004231464,0.891741640668641,"Th2like","Th1/2"
"Car11",0.92422346599609,-0.00693752641444782,"Th1like","Th1/2"
"Car13",0.0102245524649133,1.05210674299706,"Th2like","Th1/2"
"Car5b",0.179743092746867,0.306996920934116,"Ind","Th1/2"
"Car5b.1",0.0526828150920393,0.332992005641988,"Th2like","Th1/2"
