,gene,Th1,Th2,category,model,angle,clust_new
0,1110059E24Rik.1,0.504752095992845,0.598386923142803,Th2like,Th1/2,0.8700755459883526,Superpos
1,1110067D22Rik,0.0900305689508019,0.894241429079452,Th2like,Th1/2,1.4704562880277532,Th2like
2,1500005A01Rik,0.340463125425149,0.678140175339495,Th2like,Th1/2,1.1055067058776764,Superpos
3,1500011H22Rik,-0.256066702799784,1.15753944104382,Th2like,Th1/2,1.7885065750637,Th2like
4,1500012F01Rik,0.759269842219472,0.31396457865634,Ind,Th1/2,0.392097174068964,Th1like
5,1500012F01Rik.1,0.930188394455473,0.189457523059747,Ind,Th1/2,0.20092815044111134,Th1like
6,1500019G21Rik,0.300845897424059,0.597806077114079,Th2like,Th1/2,1.1045521137684813,Superpos
7,1600014C10Rik.1,0.589748595243279,0.387881299193182,Ind,Th1/2,0.5817735129240532,Superpos
8,1700019D03Rik,0.790173068742483,-0.476189629741192,Th1like,Th1/2,-0.5423581668591965,Superpos
9,1700019E19Rik,0.15035701027325,0.882159450198411,Th2like,Th1/2,1.4019766278783532,Th2like
10,1700025G04Rik,0.258986140662076,0.667609737979993,Th2like,Th1/2,1.2007378458389923,Th2like
11,1700025K23Rik,-0.0113760750355036,0.888485673999808,Th2like,Th1/2,1.5835995196501451,Th2like
12,1700102P08Rik,1.42369654874458,-0.368289572101563,Ind,Th1/2,-0.25313634486586567,Th1like
13,1700113I22Rik,0.787564886476074,0.0182555240004444,Ind,Th1/2,0.02317555773512548,Th1like
14,1700113I22Rik.1,0.764881899922115,-0.121675409362223,Ind,Th1/2,-0.1577555433542358,Th1like
15,2010001M09Rik,0.212852114395698,0.974652541827623,Th2like,Th1/2,1.355784420569562,Th2like
16,2210012G02Rik.2,0.390040147435516,0.510067413643616,Ind,Th1/2,0.9179638039496811,Superpos
17,2310004I24Rik,0.15952296045725,0.576186660903632,Ind,Th1/2,1.3007018388477523,Th2like
18,2310016C08Rik,0.100968560692808,0.749246418185401,Th2like,Th1/2,1.4368431620039526,Th2like
19,2310016E02Rik,0.13777631620117,0.766882512054028,Th2like,Th1/2,1.3930350064056713,Th2like
20,2310022B05Rik,0.0737040511964462,0.776381894605437,Th2like,Th1/2,1.4761472515652005,Th2like
21,2410008K03Rik,-0.586309500547014,1.5479371873353,Th2like,Th1/2,1.9328665917049395,Th2like
22,2410022L05Rik,1.0294039332657,0.361478178327037,Th1like,Th1/2,0.3377015339835235,Th1like
23,2410091C18Rik.1,0.370424272637846,0.448416362078413,Ind,Th1/2,0.8803586648074895,Superpos
24,2510009E07Rik,0.184608841050001,0.744152126206087,Th2like,Th1/2,1.3276260669344695,Th2like
25,2510009E07Rik.2,0.376095559508768,0.630772598829856,Superpos,Th1/2,1.033141785640292,Superpos
26,2610027C15Rik.1,0.453608791658325,0.562272285121562,Th2like,Th1/2,0.8919577742806833,Superpos
27,2610207I05Rik.1,0.289659927431298,0.678238790831817,Th2like,Th1/2,1.1671680828409274,Superpos
28,2810474O19Rik,0.272113269545946,0.804527569198933,Ind,Th1/2,1.2446475965160213,Th2like
29,4631427C17Rik,0.530463004451432,0.706481304163696,Th2like,Th1/2,0.9267500665927029,Superpos
30,4831426I19Rik.1,-0.309573454015374,0.997156290152601,Ind,Th1/2,1.871818238742549,Th2like
31,4930539E08Rik,0.320701696466893,0.651818749918682,Superpos,Th1/2,1.1135606878256141,Superpos
32,4930570C03Rik,0.15928471531683,0.655432493270472,Th2like,Th1/2,1.3323956110004447,Th2like
33,4931428F04Rik,0.166902581854787,0.968680452344896,Th2like,Th1/2,1.400172688315267,Th2like
34,4933426M11Rik,0.122446506673022,0.931307904424697,Th2like,Th1/2,1.440068155074896,Th2like
35,4933439C20Rik,0.0827745471719459,0.859294092237602,Th2like,Th1/2,1.4747640869509366,Th2like
36,5730469M10Rik,0.311571551608862,0.732073055146383,Th2like,Th1/2,1.1684161273156417,Superpos
37,5730469M10Rik.1,0.0341220563167277,0.851720609826141,Th2like,Th1/2,1.530755240387939,Th2like
38,6030408C04Rik.1,0.14224031840667,0.714442946434242,Th2like,Th1/2,1.3742733992784284,Th2like
39,6430571L13Rik,1.17574977469725,0.374297386528767,Superpos,Th1/2,0.3082035215201663,Th1like
40,6720463M24Rik,0.326777226459967,0.58406221315316,Ind,Th1/2,1.0606959978335375,Superpos
41,9130211I03Rik,0.387871399734144,0.499670782763372,Ind,Th1/2,0.9107033450833464,Superpos
42,9930104L06Rik,0.219109360916197,0.855321943275819,Ind,Th1/2,1.3200173999016331,Th2like
43,9930111J21Rik,0.0020407407511973,0.798126823156084,Th2like,Th1/2,1.568239419490586,Th2like
44,a.1,0.532532102339553,0.625276646748877,Superpos,Th1/2,0.8653309997532264,Superpos
45,A630077B13Rik,0.964367970427167,0.522595974959651,Ind,Th1/2,0.4966071236591419,Superpos
46,AA467197,0.317671939723845,0.468920461663001,Ind,Th1/2,0.9753628543295584,Superpos
47,Abhd14b,0.253973108156469,0.899734823285137,Th2like,Th1/2,1.2956787909234573,Th2like
48,Abhd4,-0.415936302810007,1.17492662943171,Th2like,Th1/2,1.9110394513992635,Th2like
49,Abtb1,0.182885662497488,0.87386951190987,Th2like,Th1/2,1.3644913536000611,Th2like
50,Acsl6,0.492349425132934,-0.162921751217224,Ind,Th1/2,-0.31956504751751413,Th1like
51,Acsl6.2,0.391381394024014,-0.0854370146739952,Ind,Th1/2,-0.2149244445544546,Th1like
52,Acss1,0.240406535519003,0.878724724021688,Th2like,Th1/2,1.3037454364151022,Th2like
53,Actr3b,0.744488845251594,0.212759847177125,Ind,Th1/2,0.2783601953313343,Th1like
54,Actr3b.1,-0.241633276924891,0.761315946655083,Ind,Th1/2,1.8781289746526968,Th2like
55,Acvr2b,0.0902887592693963,0.730469714522559,Th2like,Th1/2,1.4478163863968458,Th2like
56,Adam15.1,0.0908623234671268,0.971305373894922,Th2like,Th1/2,1.4775211689788268,Th2like
57,Adamtsl4,0.0163879893938684,1.05808781560555,Th2like,Th1/2,1.5553092576544647,Th2like
58,Adar,0.128540116723564,0.408959670087976,Ind,Th1/2,1.2662633349487211,Th2like
59,Adh4,0.01734786952409,0.976126095486871,Th2like,Th1/2,1.553026037166709,Th2like
60,Adora2b,0.426287746819858,0.283633263385745,Ind,Th1/2,0.5870949192384655,Superpos
61,Adora3.1,-0.10611756763442,0.427573712970605,Th2like,Th1/2,1.8140664355319285,Th2like
62,Aff4,0.748261114051523,0.220138002352528,Th1like,Th1/2,0.286126722813176,Th1like
63,Agl.1,0.223602263424032,0.869199965984748,Th2like,Th1/2,1.3190052425133445,Th2like
64,Agrn,0.641537553479693,0.0597076738186922,Th1like,Th1/2,0.09280231346005599,Th1like
65,AI451557,0.365072661487496,0.458865790801737,Th2like,Th1/2,0.8987453591852405,Superpos
66,AI451617,-0.0862734932951493,-0.485381276613396,Ind,Th1/2,-1.7467029767798383,Th2like
67,Aifm2.3,0.105929339051638,0.782693026431002,Th2like,Th1/2,1.4362741199899285,Th2like
68,Akap7,0.228780576476106,0.750434228260151,Th2like,Th1/2,1.2748829035107487,Th2like
69,Akr1b3,-0.205754063472036,1.0016990049918,Th2like,Th1/2,1.7733836350019903,Th2like
70,Akr1c18,0.0017418223323374,0.945106431513199,Th2like,Th1/2,1.5689533382148138,Th2like
71,Aldoc,0.317963455864935,0.68549799555458,Th2like,Th1/2,1.1364903679517155,Superpos
72,Amica1,0.234021645674269,0.92235690761287,Ind,Th1/2,1.3223182889915466,Th2like
73,Amigo2,0.318885928020941,0.770285887035151,Th2like,Th1/2,1.178293320707652,Th2like
74,Angel2,0.372315233653621,0.72570636895305,Th2like,Th1/2,1.0967724887276153,Superpos
75,Ankrd12.2,0.346467521765364,0.773387540532324,Th2like,Th1/2,1.149617719174134,Superpos
76,Ankrd37,-0.0114572870845752,0.748255718704719,Th2like,Th1/2,1.5861071243067617,Th2like
77,Anp32e,0.373280902774899,0.463595078545685,Th2like,Th1/2,0.8929003471970036,Superpos
78,Antxr2,0.433094871357713,0.769211725161275,Th2like,Th1/2,1.0579988247448566,Superpos
79,Anxa9,0.153498829941676,1.07286513092637,Th2like,Th1/2,1.4286870105582716,Th2like
80,Apbb1ip,-0.698784950258583,1.37894820605248,Th2like,Th1/2,2.0398310433629407,Superpos
81,Aqp9,0.501335122308851,0.756518885317405,Superpos,Th1/2,0.9855540393997139,Superpos
82,Arbp,0.48699757174592,0.577781264115141,Th2like,Th1/2,0.87045307217907,Superpos
