"ftest","pvalue","gene","model"
"Th1vsMixed",0.0215090815545201,"1110067D22Rik","Th1/2"
"Th2vsMixed",0.650770915972219,"1110067D22Rik","Th1/2"
"Th1vsMixed",0.0195243371261525,"2010001M09Rik","Th1/2"
"Th2vsMixed",0.64455142445082,"2010001M09Rik","Th1/2"
"Th1vsMixed",0.0469991576215535,"2310004I24Rik","Th1/2"
"Th2vsMixed",0.135071995468988,"2310004I24Rik","Th1/2"
"Th1vsMixed",0.00387056268868903,"2510009E07Rik","Th1/2"
"Th2vsMixed",0.27135538263282,"2510009E07Rik","Th1/2"
"Th1vsMixed",0.000151920368114316,"2510009E07Rik.2","Th1/2"
"Th2vsMixed",0.000440540998556535,"2510009E07Rik.2","Th1/2"
"Th1vsMixed",0.0541172534268305,"2810474O19Rik","Th1/2"
"Th2vsMixed",0.354454892256725,"2810474O19Rik","Th1/2"
"Th1vsMixed",0.00107917654385698,"4930539E08Rik","Th1/2"
"Th2vsMixed",2.15720914657401e-05,"4930539E08Rik","Th1/2"
"Th1vsMixed",1.86458886699933e-05,"5730469M10Rik","Th1/2"
"Th2vsMixed",0.165056720825124,"5730469M10Rik","Th1/2"
"Th1vsMixed",4.76767260103766e-08,"5730469M10Rik.1","Th1/2"
"Th2vsMixed",0.750314698678117,"5730469M10Rik.1","Th1/2"
"Th1vsMixed",0.00795328773579177,"9930111J21Rik","Th1/2"
"Th2vsMixed",0.989967667414637,"9930111J21Rik","Th1/2"
"Th1vsMixed",0.0351978806550349,"A630077B13Rik","Th1/2"
"Th2vsMixed",0.0517239855634884,"A630077B13Rik","Th1/2"
"Th1vsMixed",0.139605080176263,"Actr3b","Th1/2"
"Th2vsMixed",0.0431303964700543,"Actr3b","Th1/2"
"Th1vsMixed",0.41808880563871,"Adar","Th1/2"
"Th2vsMixed",0.438638629103869,"Adar","Th1/2"
"Th1vsMixed",4.83619067249066e-05,"Adora3.1","Th1/2"
"Th2vsMixed",0.663899979509461,"Adora3.1","Th1/2"
