"","gene","beta_th1","beta_th2","p_th1","p_th2","padj_th1","padj_th2","th1_sig","th2_sig","category","model"
"1","1110067D22Rik",0.0900305689508019,0.894241429079452,0.650770915972222,0.0215090815545201,0.764136582577487,0.0309335554512003,"ns","sig","Th2like","Th1/2"
"2","1500019G21Rik",0.300845897424059,0.597806077114079,0.245810413734424,0.00829805931713669,0.39858501350562,0.0135092405682985,"ns","sig","Th2like","Th1/2"
"3","2010001M09Rik",0.212852114395698,0.974652541827623,0.644551424450822,0.0195243371261525,0.760383854352129,0.028687383430845,"ns","sig","Th2like","Th1/2"
"4","2210012G02Rik.2",0.390040147435516,0.510067413643616,0.488104615617541,0.164136787442521,0.6367262133216,0.192517788153043,"ns","ns","Ind","Th1/2"
"5","2310004I24Rik",0.15952296045725,0.576186660903632,0.135071995468989,0.0469991576215535,0.270809370226003,0.0614907690946342,"ns","ns","Ind","Th1/2"
"6","2310022B05Rik",0.0737040511964462,0.776381894605437,0.498639581858194,4.37375649255595e-05,0.643143976685553,0.000228220370829522,"ns","sig","Th2like","Th1/2"
"7","2510009E07Rik",0.184608841050001,0.744152126206087,0.27135538263282,0.00387056268868902,0.424723247481548,0.00709603159592987,"ns","sig","Th2like","Th1/2"
"8","2510009E07Rik.2",0.376095559508768,0.630772598829856,0.000440540998556533,0.000151920368114316,0.00689616101586573,0.00057251472057895,"sig","sig","Superpos","Th1/2"
"9","2810474O19Rik",0.272113269545946,0.804527569198933,0.354454892256725,0.0541172534268305,0.511571422512365,0.0690461509238872,"ns","ns","Ind","Th1/2"
"10","4631427C17Rik",0.530463004451432,0.706481304163696,0.0230621719610291,0.000277908610912234,0.0802248204114431,0.000899893952709772,"ns","sig","Th2like","Th1/2"
"11","4930539E08Rik",0.320701696466893,0.651818749918682,2.157209146574e-05,0.00107917654385698,0.00125426303236517,0.00246398716963535,"sig","sig","Superpos","Th1/2"
