Unnamed: 0,gene,beta_th1,beta_th2,p_th1,p_th2,padj_th1,padj_th2,th1_sig,th2_sig,category,model,angle,clust_new
1,1110067D22Rik,0.0474346004329124,0.3564112785112537,0.650770915972222,0.0215090815545201,0.764208048114169,0.0314647135883265,ns,sig,Th2like,Th1/2,1.4384843720224363,Th2like
2,2010001M09Rik,0.1121458535175742,0.3884601487258564,0.644551424450822,0.0195243371261525,0.760392463868251,0.0292294169841815,ns,sig,Th2like,Th1/2,1.2897446305425346,Th2like
3,2310004I24Rik,0.0840482069295813,0.229646511328819,0.135071995468989,0.0469991576215535,0.264155691972046,0.0622025723691915,ns,ns,Ind,Th1/2,1.2199485971101527,Th2like
4,2510009E07Rik,0.0972652590519016,0.2965912807025791,0.27135538263282,0.003870562688689,0.414370400270508,0.0070776003450313,ns,sig,Th2like,Th1/2,1.2539042079045344,Th2like
5,2510009E07Rik.2,0.1981542802383028,0.2514024301359456,0.0004405409985565,0.0001519203681143,0.0051262952559305,0.0005477692146093,sig,sig,Superpos,Th1/2,0.9032947718779034,Superpos
6,4930539E08Rik,0.1689687959028358,0.259790640940528,2.157209146574e-05,0.0010791765438569,0.0007889222021756,0.0024769600750563,sig,sig,Superpos,Th1/2,0.9941373575239414,Superpos
7,5730469M10Rik,0.1641583767498482,0.2917770135263769,0.165056720825126,1.86458886699933e-05,0.299728842052938,0.00012477461771,ns,sig,Th2like,Th1/2,1.058318854965937,Superpos
8,9930111J21Rik,0.0010752094899356,0.3181035816558116,0.989967667414668,0.0079532877357917,0.989967667414668,0.0133074618324359,ns,sig,Th2like,Th1/2,1.5674162787310608,Th2like
9,Actr3b,0.3922504468517544,0.084798139162842,0.0431303964700543,0.139605080176263,0.117461505280148,0.167788265376166,ns,ns,Ind,Th1/2,0.2129072518554819,Th1like
10,Adar,0.0677242090929591,0.1629960703404691,0.438638629103869,0.418088805638711,0.587913555238694,0.447827339931004,ns,ns,Ind,Th1/2,1.1770031448112088,Superpos
11,Adora3.1,-0.0559103921958102,0.170414933531465,0.663899979509458,4.83619067249066e-05,0.772538157974642,0.0002526662881954,ns,sig,Th2like,Th1/2,1.8878149542915734,Th2like
12,Aff4,0.3942379502668218,0.0877387966112749,0.0030162372048007,0.202488851955403,0.0177897048600888,0.233500658110735,sig,ns,Th1like,Th1/2,0.21898403420148527,Th1like
13,AI451557,0.1923466221356699,0.1828867885634426,0.0939242392615061,0.0009292591805267,0.198715745875583,0.0022046436952955,ns,sig,Th2like,Th1/2,0.7601929712826484,Superpos
14,AI451617,-0.0454551018626047,-0.193454872182884,0.0743005101919959,0.358676559313168,0.168326819550008,0.392398287111842,ns,ns,Ind,Th1/2,-1.8015750100046832,Th2like
15,Akr1c18,0.0009177176965825,0.376684171221617,0.965068585930543,8.209562250682151e-10,0.980387134913567,2.10164793617463e-07,ns,sig,Th2like,Th1/2,1.5683600261723285,Th2like
16,Amica1,0.1232994902129038,0.3676170595500126,0.0446085965963598,0.109449999970454,0.120208428722822,0.132166037700171,ns,ns,Ind,Th1/2,1.247185145874992,Th2like
17,Antxr2,0.2281856308563708,0.3065791021254717,0.0400253913828126,0.0012093140512189,0.113119867537685,0.0026945771184687,ns,sig,Th2like,Th1/2,0.9309557179967425,Superpos
18,Aqp9,0.2641395193525967,0.3015202096054178,5.03450810670785e-06,1.35101200959844e-05,0.0003222085188293,0.0001048057801385,sig,sig,Superpos,Th1/2,0.8513855698443024,Superpos
19,Armcx6.1,0.2894479712164355,0.2004544563031896,0.0247271644864249,0.0073670348435181,0.0781500507225281,0.0124076376311885,ns,sig,Th2like,Th1/2,0.6057020561977793,Superpos
20,Atp10a,-0.1236051955584199,0.3865472544893129,0.140912506062944,0.0052265783305399,0.269205981732192,0.0091644113193028,ns,sig,Th2like,Th1/2,1.8802882277248585,Th2like
21,BC006779,0.1149079940377418,0.2403353095655878,0.0926527727507514,0.0010703674164364,0.197659248534936,0.0024769600750563,ns,sig,Th2like,Th1/2,1.1248092374924068,Superpos
22,BC094916,0.0383945056161421,0.370860011543415,0.0728519635154294,3.32205722013895e-07,0.168004192794829,1.41741108059262e-05,ns,sig,Th2like,Th1/2,1.4676355445435594,Th2like
23,BC094916.1,0.1426731930141858,0.3237540547168841,0.0039809595134309,2.55074955104707e-06,0.0212317840716319,3.6277326948225e-05,sig,sig,Superpos,Th1/2,1.1557166408738249,Superpos
24,Bst2,0.1636737019822494,0.0986631661608775,0.146992048364806,0.607434628139787,0.276690914569047,0.622721237676492,ns,ns,Ind,Th1/2,0.542478732220109,Superpos
25,Bzrap1,0.349416652726656,0.1697779498955219,0.0006090238933896,1.65477816845655e-05,0.0064962548628226,0.0001210352031785,sig,sig,Superpos,Th1/2,0.45229577662979303,Superpos
26,C030048B08Rik.1,0.1601875506608971,0.2698157286381018,0.230379350430735,0.0703574042969669,0.361023409272554,0.0882916446079584,ns,ns,Ind,Th1/2,1.0350276678002777,Superpos
27,C730027P07Rik,-1.0303146469867104,0.332119641173637,0.0307499028218794,3.29134207966847e-05,0.0904824726712773,0.0001792731005096,ns,sig,Th2like,Th1/2,2.8297614620582223,Th1like
28,Casp1,0.2532779102926307,0.2921814143897324,0.00320995566801,0.0101971185231948,0.0178641011089254,0.0163153896371117,sig,sig,Superpos,Th1/2,0.856600060488266,Superpos
29,Casp6,0.0263176835628882,0.5138329915174341,0.824496221288596,0.0014993030748987,0.886416533465713,0.0031985132264506,ns,sig,Th2like,Th1/2,1.519622682999298,Th2like
30,Ccr5,0.1534520801501653,0.1310005982882506,0.0001382718265633,0.199909409296079,0.0023598391733485,0.231569270496816,sig,ns,Th1like,Th1/2,0.7066327491392983,Superpos
31,Ccr5.1,0.1851073144067667,0.3791847849570418,2.6103726156829e-05,0.0081735125117257,0.0008353192370185,0.0134900354291205,sig,sig,Superpos,Th1/2,1.116655983977069,Superpos
32,Ccr5.2,0.2135385799850727,0.3121699260894016,0.0001524473053183,0.0082204903396203,0.0024391568850932,0.0134900354291205,sig,sig,Superpos,Th1/2,0.9708582063809891,Superpos
33,Cd79b.1,0.3110924803401732,0.1184110814931684,0.0179843082887971,0.258950170744744,0.0622159854315143,0.292031910619623,ns,ns,Ind,Th1/2,0.36369726315249884,Th1like
34,Cd80,0.0541067631838448,0.3185833779521062,0.185774090179918,0.0007632911791657,0.318686163993565,0.0019157111947689,ns,sig,Th2like,Th1/2,1.4025660659903223,Th2like
35,Cd86,-0.0395813687140544,0.4063971213131209,0.50330828705737,7.85729614582116e-07,0.64491289985675,1.67622317777518e-05,ns,sig,Th2like,Th1/2,1.6678858943357355,Th2like
36,Cd86.1,0.0106767408879584,0.4078708465269137,0.843239358738143,2.52728506363206e-06,0.895723136252965,3.6277326948225e-05,ns,sig,Th2like,Th1/2,1.5446255344210804,Th2like
37,Cd86.2,0.0185596742562245,0.3813376460318243,0.63144245879536,4.76131210982215e-08,0.748376247461167,6.09447950057235e-06,ns,sig,Th2like,Th1/2,1.522164777402443,Th2like
38,Cdc42se1.1,0.1495055776710588,0.3266434905842142,0.110053791432855,0.0002329229605402,0.225390164854487,0.0007950437053108,ns,sig,Th2like,Th1/2,1.1415554025273136,Superpos
39,Ch25h,0.5589545572771086,0.0453909867753227,0.0015053184793915,0.927905052832328,0.0112027111628485,0.931543896176769,sig,ns,Th1like,Th1/2,0.08102913049400169,Th1like
40,Clec2e,0.1328780407891837,0.2337616870862668,0.133155064049326,0.000744863394738,0.264155691972046,0.0018879705846825,ns,sig,Th2like,Th1/2,1.0539107324636965,Superpos
41,Clpx,-0.4099502859856296,0.5369889119417546,0.0091613733935586,8.49072134362697e-06,0.0372271680754128,8.13492668724252e-05,sig,sig,Superpos,Th1/2,2.2228336580464987,Superpos
42,Cox7a1,0.0782410137030318,0.3000502882610401,0.302314127002729,5.4731313301854e-05,0.439729639276697,0.0002747297295151,ns,sig,Th2like,Th1/2,1.315716833375765,Th2like
43,Csprs,0.1097698114374701,0.2484088351540019,0.0054745887084249,0.0003929187397064,0.0259536057288294,0.00116961857401,sig,sig,Superpos,Th1/2,1.154705658426209,Superpos
44,Ctsw,0.2485514115097513,0.1878727731772737,1.19120276083917e-05,9.6520743725381e-06,0.0005082465112913,8.5204518598957e-05,sig,sig,Superpos,Th1/2,0.6472478934078754,Superpos
45,Cuedc1,0.340405650817546,0.1947348607813149,0.0507784926882934,0.0049819169627667,0.131306001294981,0.0087956602928846,ns,sig,Th2like,Th1/2,0.5196273060319541,Superpos
46,Cxcr3,0.3741956755957043,-0.0276004700096118,0.0001332512408722,0.608126208668449,0.0023598391733485,0.622721237676492,sig,ns,Th1like,Th1/2,-0.07362613065612,Th1like
47,D14Ertd668e.1,-0.0008387546938244,0.3539639252988991,0.981680383745668,8.49333005834878e-05,0.989967667414668,0.0003814548236732,ns,sig,Th2like,Th1/2,1.5731659273784713,Th2like
48,D330045A20Rik,-0.1649928241512506,0.2126097916694343,0.537059269848363,4.95066002377303e-07,0.664189241938072,1.45663193674706e-05,ns,sig,Th2like,Th1/2,2.23075323510232,Superpos
49,D330045A20Rik.1,0.1232236828156287,0.2192889481792941,0.275167843929634,1.35691435961152e-07,0.414370400270508,6.94740152121098e-06,ns,sig,Th2like,Th1/2,1.0588446680553503,Superpos
50,D330045A20Rik.2,0.4221633153898182,0.1902223396120693,0.300875420245981,0.0004180403197833,0.439729639276697,0.0012300956536154,ns,sig,Th2like,Th1/2,0.4233440120318166,Superpos
51,Dbndd2.2,0.0099025721463517,0.3209194216550512,0.894829462234599,2.9946458605154e-05,0.927109328967898,0.0001703208081449,ns,sig,Th2like,Th1/2,1.5399492344377435,Th2like
52,Ddx26b,0.243171126245424,0.1349690001777783,0.0033703278262701,0.0713262500569697,0.0183575302877693,0.0890708293394353,sig,ns,Th1like,Th1/2,0.5067022497799101,Superpos
53,Ddx58,0.1544075994507827,0.317850222201446,9.41650044287345e-05,6.74501487310636e-07,0.0023287281598965,1.67026869459228e-05,sig,sig,Superpos,Th1/2,1.1185833938296375,Superpos
54,Ddx60,0.0324945606130431,0.3391995722501898,0.427904434660792,0.0003152067146025,0.585820195640282,0.0010086614867281,ns,sig,Th2like,Th1/2,1.4752900116515855,Th2like
55,Dusp14,-0.0509057492122223,0.2329886146748586,0.535576593811974,0.0283783063645342,0.664189241938072,0.0399167386226415,ns,sig,Th2like,Th1/2,1.7859061598946653,Th2like
56,Edn1,-0.0621673887863023,0.5068530591332415,0.898137162437651,4.90263595665613e-06,0.927109328967898,6.10823791012426e-05,ns,sig,Th2like,Th1/2,1.6928404273135667,Th2like
57,Efna5,-0.1534947538596761,0.4136165309770316,0.625709273418723,0.0004896394371503,0.745030576721828,0.0014084010776458,ns,sig,Th2like,Th1/2,1.9261469685918162,Th2like
58,EG240327,0.3033315735428157,0.2213178924855756,0.001600476052365,0.442892046010002,0.0112027111628485,0.468513899911407,sig,ns,Th1like,Th1/2,0.6303322038457831,Superpos
59,Emr1,0.1394040091632169,0.3024404696373937,0.503838203013086,2.98269637571826e-05,0.64491289985675,0.0001703208081449,ns,sig,Th2like,Th1/2,1.1388899403211477,Superpos
