"","gene","beta_th1","beta_th2","p_th1","p_th2","padj_th1","padj_th2","th1_sig","th2_sig","category","model"
"1","1110059E24Rik.1",0.504752095992845,0.598386923142803,0.0221397196211151,0.000811267621358435,0.0984487024776489,0.00240905232647454,"ns","sig","Th2like","Th1/2"
"2","1110067D22Rik",0.0900305689508019,0.894241429079452,0.650770915972222,0.0215090815545201,0.775411699068088,0.0335863733364699,"ns","sig","Th2like","Th1/2"
"3","1500005A01Rik",0.340463125425149,0.678140175339495,0.0367656886101609,0.00389314890872363,0.131054251918984,0.00802446692715741,"ns","sig","Th2like","Th1/2"
"4","1500011H22Rik",-0.256066702799784,1.15753944104382,0.286692709802062,0.00036909416021435,0.457531111859046,0.00136424676939988,"ns","sig","Th2like","Th1/2"
"5","1500012F01Rik",0.759269842219472,0.31396457865634,0.0204047571150181,0.372031941286348,0.0921369444987415,0.410970971711022,"ns","ns","Ind","Th1/2"
"6","1500012F01Rik.1",0.930188394455473,0.189457523059747,0.016425894110078,0.645857166059418,0.0819580989135218,0.673536758890536,"ns","ns","Ind","Th1/2"
"7","1500019G21Rik",0.300845897424059,0.597806077114079,0.245810413734424,0.00829805931713669,0.418116354235642,0.0150811202527215,"ns","sig","Th2like","Th1/2"
"8","1600014C10Rik.1",0.589748595243279,0.387881299193182,0.0182708112347406,0.062017610291342,0.0872511102446969,0.0818184135771319,"ns","ns","Ind","Th1/2"
"9","1700019D03Rik",0.790173068742483,-0.476189629741192,0.000187445083281827,0.107205100312622,0.00631545742134156,0.131655606974598,"sig","ns","Th1like","Th1/2"
"10","1700019E19Rik",0.15035701027325,0.882159450198411,0.338899809874822,0.00128536662642383,0.512739608722529,0.00331170930808022,"ns","sig","Th2like","Th1/2"
"11","1700025G04Rik",0.258986140662076,0.667609737979993,0.102675096264917,0.0263808586300058,0.240490332427987,0.0402606832053747,"ns","sig","Th2like","Th1/2"
"12","1700025K23Rik",-0.0113760750355036,0.888485673999808,0.944309013795077,6.65795169655168e-06,0.962273850310801,0.000110044635588288,"ns","sig","Th2like","Th1/2"
"13","1700102P08Rik",1.42369654874458,-0.368289572101563,0.0211168455452235,0.433949538574126,0.094379370906203,0.472223348808614,"ns","ns","Ind","Th1/2"
"14","1700113I22Rik",0.787564886476074,0.0182555240004444,0.0148134796801122,0.915273229189789,0.0781407841116562,0.922645970966922,"ns","ns","Ind","Th1/2"
"15","1700113I22Rik.1",0.764881899922115,-0.121675409362223,0.121474158542919,0.70156200749855,0.270079601227404,0.724726790765012,"ns","ns","Ind","Th1/2"
"16","2010001M09Rik",0.212852114395698,0.974652541827623,0.644551424450822,0.0195243371261525,0.770296108893479,0.0312674941910596,"ns","sig","Th2like","Th1/2"
"17","2210012G02Rik.2",0.390040147435516,0.510067413643616,0.488104615617541,0.164136787442521,0.646867841574835,0.193778740969877,"ns","ns","Ind","Th1/2"
"18","2310004I24Rik",0.15952296045725,0.576186660903632,0.135071995468989,0.0469991576215535,0.286496532762311,0.0643189858274306,"ns","ns","Ind","Th1/2"
"19","2310016C08Rik",0.100968560692808,0.749246418185401,0.716272145597993,0.00464383065708337,0.824513008599004,0.00935171415081617,"ns","sig","Th2like","Th1/2"
"20","2310016E02Rik",0.13777631620117,0.766882512054028,0.443028939203792,0.000531122539144801,0.60544984515214,0.00176236115261684,"ns","sig","Th2like","Th1/2"
"21","2310022B05Rik",0.0737040511964462,0.776381894605437,0.498639581858194,4.37375649255595e-05,0.656796389941002,0.000324695820972798,"ns","sig","Th2like","Th1/2"
"22","2410008K03Rik",-0.586309500547014,1.5479371873353,0.206123233059188,0.00805951308958868,0.370868545407768,0.0147701536955642,"ns","sig","Th2like","Th1/2"
"23","2410022L05Rik",1.0294039332657,0.361478178327037,0.0025830544015023,0.0771097949955546,0.028231245178344,0.0980379977011696,"sig","ns","Th1like","Th1/2"
"24","2410091C18Rik.1",0.370424272637846,0.448416362078413,0.136988059076897,0.0509213668015398,0.287811753153491,0.0686263343356136,"ns","ns","Ind","Th1/2"
"25","2510009E07Rik",0.184608841050001,0.744152126206087,0.27135538263282,0.00387056268868902,0.442703722934382,0.0079967285738009,"ns","sig","Th2like","Th1/2"
"26","2510009E07Rik.2",0.376095559508768,0.630772598829856,0.000440540998556533,0.000151920368114316,0.0107198309648756,0.000789762775568935,"sig","sig","Superpos","Th1/2"
"27","2610027C15Rik.1",0.453608791658325,0.562272285121562,0.012914087502891,0.00225578940796404,0.0694033168867026,0.0050798753762892,"ns","sig","Th2like","Th1/2"
"28","2610207I05Rik.1",0.289659927431298,0.678238790831817,0.0271579685853822,0.000185356353659277,0.11014065037405,0.000889462803915039,"ns","sig","Th2like","Th1/2"
"29","2810474O19Rik",0.272113269545946,0.804527569198933,0.354454892256725,0.0541172534268305,0.529867722895719,0.0721563379024407,"ns","ns","Ind","Th1/2"
"30","4631427C17Rik",0.530463004451432,0.706481304163696,0.0230621719610291,0.000277908610912234,0.10050976436747,0.00117083531827184,"ns","sig","Th2like","Th1/2"
"31","4831426I19Rik.1",-0.309573454015374,0.997156290152601,0.644083597952873,0.0597142267828582,0.770296108893479,0.0788984353873059,"ns","ns","Ind","Th1/2"
"32","4930539E08Rik",0.320701696466893,0.651818749918682,2.157209146574e-05,0.00107917654385698,0.00188971521239882,0.00295424578880848,"sig","sig","Superpos","Th1/2"
"33","4930570C03Rik",0.15928471531683,0.655432493270472,0.619503824808956,0.0137207854541825,0.754777956234556,0.0232034904591967,"ns","sig","Th2like","Th1/2"
"34","4931428F04Rik",0.166902581854787,0.968680452344896,0.1373348319842,5.83052296970569e-06,0.287811753153491,0.000104235471866575,"ns","sig","Th2like","Th1/2"
"35","4933426M11Rik",0.122446506673022,0.931307904424697,0.421467329466741,7.63352829706943e-05,0.584185728817825,0.000488100057535242,"ns","sig","Th2like","Th1/2"
"36","4933439C20Rik",0.0827745471719459,0.859294092237602,0.667746720819423,0.000801558069486017,0.788337098972796,0.00238831588050936,"ns","sig","Th2like","Th1/2"
"37","5730469M10Rik",0.311571551608862,0.732073055146383,0.165056720825126,1.86458886699933e-05,0.327921226753769,0.000202529090583026,"ns","sig","Th2like","Th1/2"
"38","5730469M10Rik.1",0.0341220563167277,0.851720609826141,0.750314698678102,4.76767260103766e-08,0.843652047401533,1.04412029962725e-05,"ns","sig","Th2like","Th1/2"
"39","6030408C04Rik.1",0.14224031840667,0.714442946434242,0.403275813225791,0.00023675812187297,0.565872867027224,0.00106359033210627,"ns","sig","Th2like","Th1/2"
"40","6430571L13Rik",1.17574977469725,0.374297386528767,0.00256489022367954,0.00970765934970003,0.028231245178344,0.0173904081601988,"sig","sig","Superpos","Th1/2"
"41","6720463M24Rik",0.326777226459967,0.58406221315316,0.35228474395781,0.0846812142616923,0.527523821721439,0.106124096842979,"ns","ns","Ind","Th1/2"
"42","9130211I03Rik",0.387871399734144,0.499670782763372,0.504428159033908,0.323378985060654,0.659520995990602,0.361787983286249,"ns","ns","Ind","Th1/2"
"43","9930104L06Rik",0.219109360916197,0.855321943275819,0.644317808544676,0.0788259848042074,0.770296108893479,0.100074728534037,"ns","ns","Ind","Th1/2"
"44","9930111J21Rik",0.0020407407511973,0.798126823156084,0.989967667414668,0.00795328773579177,0.993369618161797,0.0146154451831538,"ns","sig","Th2like","Th1/2"
"45","a.1",0.532532102339553,0.625276646748877,0.00129729333444554,0.00125233398622361,0.0195936027754188,0.00324569399979847,"sig","sig","Superpos","Th1/2"
"46","A630077B13Rik",0.964367970427167,0.522595974959651,0.0517239855634885,0.0351978806550347,0.158427312425231,0.0508619708785012,"ns","ns","Ind","Th1/2"
"47","AA467197",0.317671939723845,0.468920461663001,0.0440469635767713,0.0380613216180478,0.143974403333029,0.0540384404171959,"ns","ns","Ind","Th1/2"
"48","Abhd14b",0.253973108156469,0.899734823285137,0.0664506918545138,5.29447232699385e-05,0.186320009162529,0.000375762951736886,"ns","sig","Th2like","Th1/2"
"49","Abhd4",-0.415936302810007,1.17492662943171,0.247625939657681,0.000759678205300503,0.419575093114369,0.00228686634997677,"ns","sig","Th2like","Th1/2"
"50","Abtb1",0.182885662497488,0.87386951190987,0.278987790099426,0.000413073420356329,0.450910155216046,0.00148260453494023,"ns","sig","Th2like","Th1/2"
"51","Acsl6",0.492349425132934,-0.162921751217224,0.0110588580426287,0.468658450775243,0.0626703819979417,0.503735954452899,"ns","ns","Ind","Th1/2"
"52","Acsl6.2",0.391381394024014,-0.0854370146739952,0.0385995245572319,0.750026526696559,0.133648946688281,0.766654886098233,"ns","ns","Ind","Th1/2"
"53","Acss1",0.240406535519003,0.878724724021688,0.0372517222920401,0.000121692766015107,0.131054251918984,0.000677936298531846,"ns","sig","Th2like","Th1/2"
"54","Actr3b",0.744488845251594,0.212759847177125,0.0431303964700543,0.139605080176263,0.142038448525442,0.167755898812629,"ns","ns","Ind","Th1/2"
"55","Actr3b.1",-0.241633276924891,0.761315946655083,0.70371246618141,0.0859088288912117,0.816492874668762,0.107508763012431,"ns","ns","Ind","Th1/2"
"56","Acvr2b",0.0902887592693963,0.730469714522559,0.755509283780031,0.000862956122872668,0.843652047401533,0.00251983187878819,"ns","sig","Th2like","Th1/2"
"57","Adam15.1",0.0908623234671268,0.971305373894922,0.688446100953369,0.000578087132850308,0.80303433346891,0.00186178061903261,"ns","sig","Th2like","Th1/2"
"58","Adamtsl4",0.0163879893938684,1.05808781560555,0.898985679613257,1.74459727873729e-07,0.925592477524599,1.69807468463763e-05,"ns","sig","Th2like","Th1/2"
"59","Adar",0.128540116723564,0.408959670087976,0.438638629103869,0.418088805638711,0.601326195766806,0.456096878878594,"ns","ns","Ind","Th1/2"
"60","Adh4",0.01734786952409,0.976126095486871,0.738551582169643,0.000219055891300636,0.836694703514779,0.00100467518732648,"ns","sig","Th2like","Th1/2"
"61","Adora2b",0.426287746819858,0.283633263385745,0.0681109427466185,0.115499661783942,0.186320009162529,0.141112557493352,"ns","ns","Ind","Th1/2"
"62","Adora3.1",-0.10611756763442,0.427573712970605,0.663899979509458,4.83619067249066e-05,0.78485341707191,0.000353141073225949,"ns","sig","Th2like","Th1/2"
"63","Aff4",0.748261114051523,0.220138002352528,0.00301623720480075,0.202488851955403,0.0299140549486893,0.235877971160815,"sig","ns","Th1like","Th1/2"
"64","Agl.1",0.223602263424032,0.869199965984748,0.118493019415084,4.14964531794092e-05,0.266153551301573,0.000313369767113469,"ns","sig","Th2like","Th1/2"
"65","Agrn",0.641537553479693,0.0597076738186922,0.000590029455253855,0.715137759829371,0.0129283000725688,0.73614650718041,"sig","ns","Th1like","Th1/2"
"66","AI451557",0.365072661487496,0.458865790801737,0.0939242392615061,0.000929259180526733,0.226187248503073,0.00261978660978353,"ns","sig","Th2like","Th1/2"
"67","AI451617",-0.0862734932951493,-0.485381276613396,0.0743005101919959,0.358676559313168,0.196638208242261,0.39721955241256,"ns","ns","Ind","Th1/2"
"68","Aifm2.3",0.105929339051638,0.782693026431002,0.657990206406614,0.00178778766340097,0.780787785112662,0.0042557119378784,"ns","sig","Th2like","Th1/2"
"69","Akap7",0.228780576476106,0.750434228260151,0.0606417862617363,5.44113568505869e-06,0.175901340282387,9.93007262523211e-05,"ns","sig","Th2like","Th1/2"
"70","Akr1b3",-0.205754063472036,1.0016990049918,0.820593777955737,0.0070564743417151,0.890931432347204,0.013180109857873,"ns","sig","Th2like","Th1/2"
"71","Akr1c18",0.00174182233233748,0.945106431513199,0.965068585930543,8.20956225068215e-10,0.976212564982859,7.19157653159756e-07,"ns","sig","Th2like","Th1/2"
"72","Aldoc",0.317963455864935,0.68549799555458,0.0429541816181156,0.000465409516273677,0.142038448525442,0.00160511313486512,"ns","sig","Th2like","Th1/2"
"73","Amica1",0.234021645674269,0.92235690761287,0.0446085965963598,0.109449999970454,0.144730113401523,0.134095384579186,"ns","ns","Ind","Th1/2"
"74","Amigo2",0.318885928020941,0.770285887035151,0.108636942757042,0.000450974717162017,0.250436741724128,0.0015676740168013,"ns","sig","Th2like","Th1/2"
"75","Angel2",0.372315233653621,0.72570636895305,0.3899286473145,0.0281639672560153,0.558133161842324,0.04253730226943,"ns","sig","Th2like","Th1/2"
"76","Ankrd12.2",0.346467521765364,0.773387540532324,0.178111059331321,0.0266524134093178,0.344426684269839,0.0406043724288042,"ns","sig","Th2like","Th1/2"
"77","Ankrd37",-0.0114572870845752,0.748255718704719,0.957852250705092,0.00203855576600127,0.972281079510615,0.00472427209263786,"ns","sig","Th2like","Th1/2"
"78","Anp32e",0.373280902774899,0.463595078545685,0.0547288365113718,0.0101917250895837,0.164078162845856,0.0179731907974218,"ns","sig","Th2like","Th1/2"
"79","Antxr2",0.433094871357713,0.769211725161275,0.0400253913828126,0.00120931405121893,0.137498991573897,0.00321054965838692,"ns","sig","Th2like","Th1/2"
"80","Anxa9",0.153498829941676,1.07286513092637,0.127702875394852,0.00106300606839738,0.279685094947891,0.00292828086766071,"ns","sig","Th2like","Th1/2"
"81","Apbb1ip",-0.698784950258583,1.37894820605248,0.212226067356143,0.00508376978180696,0.376964038795501,0.010098372627807,"ns","sig","Th2like","Th1/2"
"82","Aqp9",0.501335122308851,0.756518885317405,5.03450810670785e-06,1.35101200959844e-05,0.000686056360285012,0.000169069502915462,"sig","sig","Superpos","Th1/2"
"83","Arbp",0.48699757174592,0.577781264115141,0.0430340990313169,0.0066868282904278,0.142038448525442,0.0125985313565921,"ns","sig","Th2like","Th1/2"
"84","Arhgap18",0.125323200203665,0.997301260115864,0.691397808406812,0.00303002896263385,0.805361134024221,0.00648974418402751,"ns","sig","Th2like","Th1/2"
"85","Arhgdig",0.069177351656654,1.07740446172793,0.773340012277553,0.00565096691733926,0.85428228342388,0.0110496585258687,"ns","sig","Th2like","Th1/2"
"86","Arhgdig.1",0.26784767597537,0.8721876394248,0.0434130321249078,9.49183791034943e-05,0.142433768319922,0.000573437931687317,"ns","sig","Th2like","Th1/2"
"87","Arl6",-0.209668306771198,1.18836711318497,0.208696940796997,0.000192799046156645,0.374628115037232,0.00091292953747687,"ns","sig","Th2like","Th1/2"
"88","Armc3.1",0.0183906830773368,0.934529932268915,0.841206946097262,3.90891061720417e-05,0.899752484470332,0.000297757017449639,"ns","sig","Th2like","Th1/2"
"89","Armcx1",0.553964412585568,0.41612166642668,0.0249096280446501,0.0035408814498067,0.103416275673524,0.00743839844132055,"ns","sig","Th2like","Th1/2"
"90","Armcx3",0.373913431877655,0.677331782863589,0.373144345949672,0.007958410219594,0.547528387021629,0.0146154451831538,"ns","sig","Th2like","Th1/2"
"91","Armcx6",0.262096009474275,0.830351690422544,0.213626464901414,0.000247137452088236,0.376964038795501,0.00109339600014795,"ns","sig","Th2like","Th1/2"
"92","Armcx6.1",0.549370402458158,0.502943341800697,0.0247271644864249,0.00736703484351817,0.103147600429087,0.0136438108307017,"ns","sig","Th2like","Th1/2"
"93","Asah2",0.178370923581067,0.85452838216313,0.262560457332934,0.00852328751772023,0.432336392149718,0.0154583848147473,"ns","sig","Th2like","Th1/2"
"94","Asb13.1",0.279622243271397,0.639352467115852,0.00985387605442289,6.32868112709777e-06,0.0587210573039078,0.000108704405241915,"ns","sig","Th2like","Th1/2"
"95","Asb2",-0.215709609589058,1.07920273321758,0.285870723515676,2.81491550123838e-06,0.457531111859046,7.04533136881377e-05,"ns","sig","Th2like","Th1/2"
"96","Atg2a.1",-0.0454389917271998,1.15308392675938,0.762937999739349,6.0655655076544e-05,0.846083993278605,0.000404907866800898,"ns","sig","Th2like","Th1/2"
"97","Atp10a",-0.234601872469413,0.969853060501135,0.140912506062944,0.00522657833053993,0.293205119503893,0.0103165710623906,"ns","sig","Th2like","Th1/2"
"98","Atp10d",0.220785976720501,0.746398429692417,0.298147754385674,0.00130077632559745,0.469743584247932,0.00332209930385821,"ns","sig","Th2like","Th1/2"
"99","Atp8b4",0.371279969112686,0.865658334207891,0.190524514415429,0.00222251125214385,0.354462307556164,0.00502242210024167,"ns","sig","Th2like","Th1/2"
"100","Atxn7l1",0.180272141678267,0.855243526861781,0.401969301101827,0.00017861837329454,0.565208840714607,0.000874132374335291,"ns","sig","Th2like","Th1/2"
"101","Aven",-0.259811858539149,1.08642540135828,0.162496502648575,2.82301274446512e-05,0.327234336368165,0.000254690269302086,"ns","sig","Th2like","Th1/2"
"102","Axl",0.0375808882965423,0.759846044373152,0.832575002221252,0.00377729216599007,0.894764012389178,0.00784101406968555,"ns","sig","Th2like","Th1/2"
"103","B230342M21Rik",0.488717905206336,0.707199065261743,0.00743771020950381,0.000874174864060607,0.0497597360744594,0.00252827468875484,"sig","sig","Superpos","Th1/2"
"104","B3gnt5",0.452792769715906,0.647778845058882,0.0491186895789219,0.00256400995478082,0.152581461245162,0.00565761390525944,"ns","sig","Th2like","Th1/2"
"105","B930041F14Rik",0.340223129038074,0.641563882266851,0.00469329438828515,0.00998840338264781,0.0386445155249598,0.0177830331875785,"sig","sig","Superpos","Th1/2"
"106","Batf",-0.153918587496279,0.996253782620367,0.746340850442705,0.00780513332915172,0.841434472313783,0.0143943090449198,"ns","sig","Th2like","Th1/2"
"107","Batf3",0.675112187678034,0.267116854930609,0.253738610353614,0.560028376269069,0.424188974560622,0.592493789386117,"ns","ns","Ind","Th1/2"
"108","Bbs12",0.523162667681964,0.370543917945821,0.0824499553723152,0.260687388586559,0.209790619364232,0.296574223898475,"ns","ns","Ind","Th1/2"
"109","BC006779",0.2180946394783,0.603005021563586,0.0926527727507514,0.00107036741643649,0.224600985648572,0.00293931616551212,"ns","sig","Th2like","Th1/2"
