"","gene","beta_th1","beta_th2","p_th1","p_th2","padj_th1","padj_th2","th1_sig","th2_sig","category","model"
"1","2010001M09Rik",0.212852114395698,0.974652541827623,0.644551424450822,0.0195243371261525,0.741929697209579,0.0300374417325423,"ns","sig","Th2like","Th1/2"
"2","2310004I24Rik",0.15952296045725,0.576186660903632,0.135071995468989,0.0469991576215535,0.260146965314478,0.065390132343031,"ns","ns","Ind","Th1/2"
"3","4930539E08Rik",0.320701696466893,0.651818749918682,2.157209146574e-05,0.00107917654385698,0.000493076376359771,0.00240815562852704,"sig","sig","Superpos","Th1/2"
"4","5730469M10Rik",0.311571551608862,0.732073055146383,0.165056720825126,1.86458886699933e-05,0.292317964090091,0.000112643752099356,"ns","sig","Th2like","Th1/2"
"5","9930111J21Rik",0.0020407407511973,0.798126823156084,0.989967667414668,0.00795328773579177,0.989967667414668,0.0135375110396456,"ns","sig","Th2like","Th1/2"
"6","Adar",0.128540116723564,0.408959670087976,0.438638629103869,0.418088805638711,0.575263775873927,0.461339371739267,"ns","ns","Ind","Th1/2"
"7","AI451557",0.365072661487496,0.458865790801737,0.0939242392615061,0.000929259180526733,0.197735240550539,0.00218649218947467,"ns","sig","Th2like","Th1/2"
"8","AI451617",-0.0862734932951493,-0.485381276613396,0.0743005101919959,0.358676559313168,0.169829737581705,0.407008861631964,"ns","ns","Ind","Th1/2"
"9","Akr1c18",0.00174182233233748,0.945106431513199,0.965068585930543,8.20956225068215e-10,0.983509386935585,1.31352996010914e-07,"ns","sig","Th2like","Th1/2"
"10","Amica1",0.234021645674269,0.92235690761287,0.0446085965963598,0.109449999970454,0.123058197507199,0.138984126946608,"ns","ns","Ind","Th1/2"
"11","Aqp9",0.501335122308851,0.756518885317405,5.03450810670785e-06,1.35101200959844e-05,0.000201380324268314,9.39834441459784e-05,"sig","sig","Superpos","Th1/2"
"12","Atp10a",-0.234601872469413,0.969853060501135,0.140912506062944,0.00522657833053993,0.26524707023613,0.00939609587512796,"ns","sig","Th2like","Th1/2"
"13","BC006779",0.2180946394783,0.603005021563586,0.0926527727507514,0.00107036741643649,0.197659248534936,0.00240815562852704,"ns","sig","Th2like","Th1/2"
"14","BC094916",0.0728725266716408,0.930493524493036,0.0728519635154294,3.32205722013895e-07,0.169829737581705,1.32882288805558e-05,"ns","sig","Th2like","Th1/2"
"15","BC094916.1",0.270792809971311,0.812303947758354,0.00398095951343099,2.55074955104707e-06,0.0193016218833018,3.71018116515937e-05,"sig","sig","Superpos","Th1/2"
"16","Bst2",0.310651641992574,0.247547415092311,0.146992048364806,0.607434628139787,0.270330203889298,0.631819437577609,"ns","ns","Ind","Th1/2"
"17","Casp1",0.480719857618829,0.733087703188607,0.00320995566801004,0.0101971185231948,0.0160497783400502,0.0166483567725629,"sig","sig","Superpos","Th1/2"
"18","Ccr5",0.291251068977439,0.328682534157935,0.000138271826563391,0.199909409296079,0.00170180709616481,0.244164164025745,"sig","ns","Th1like","Th1/2"
"19","Ccr5.1",0.351332501610638,0.951380510183443,2.6103726156829e-05,0.00817351251172577,0.00052207452313658,0.0135595716942191,"sig","sig","Superpos","Th1/2"
"20","Ccr5.2",0.405294862263943,0.783239189253095,0.000152447305318325,0.00822049033962033,0.00174225491792371,0.0135595716942191,"sig","sig","Superpos","Th1/2"
"21","Cd80",0.102694291278312,0.799330639509645,0.185774090179918,0.000763291179165763,0.314320084328385,0.00187887059486957,"ns","sig","Th2like","Th1/2"
"22","Cd86",-0.0751251852583382,1.0196566844204,0.50330828705737,7.85729614582116e-07,0.629797753766357,1.57145922916423e-05,"ns","sig","Th2like","Th1/2"
"23","Cd86.2",0.0352261433126792,0.956782072031218,0.63144245879536,4.76131210982215e-08,0.732107198603316,3.80904968785772e-06,"ns","sig","Th2like","Th1/2"
"24","Cdc42se1.1",0.283760632453952,0.819553587191841,0.110053791432855,0.000232922960540299,0.222893754800719,0.000810166819270605,"ns","sig","Th2like","Th1/2"
"25","Ch25h",1.06089218313274,0.113886690260868,0.0015053184793915,0.927905052832328,0.00948430253253375,0.932835138211591,"sig","ns","Th1like","Th1/2"
"26","Clec2e",0.252201673549199,0.586511700744191,0.133155064049326,0.000744863394738021,0.260146965314478,0.00186215848684505,"ns","sig","Th2like","Th1/2"
"27","Clpx",-0.778083026988493,1.3473135138159,0.00916137339355862,8.49072134362697e-06,0.034088831231846,7.62649376928987e-05,"sig","sig","Superpos","Th1/2"
"28","Csprs",0.208342401688718,0.623261622561315,0.00547458870842495,0.000392918739706486,0.0250266912385141,0.00120898073755842,"sig","sig","Superpos","Th1/2"
"29","Ctsw",0.471748993087784,0.471375703577406,1.19120276083917e-05,9.6520743725381e-06,0.000317654069557112,7.72165949803048e-05,"sig","sig","Superpos","Th1/2"
"30","Cxcr3",0.710221004611559,-0.069250007597278,0.00013325124087228,0.608126208668449,0.00170180709616481,0.631819437577609,"sig","ns","Th1like","Th1/2"
"31","D330045A20Rik",-0.313155327452279,0.533441266878305,0.537059269848363,4.95066002377303e-07,0.650980933149531,1.36559244070037e-05,"ns","sig","Th2like","Th1/2"
