"gene","correlation","value","padj","cor_idx","sig","deg","padj_log10","veclen1","veclen2","veclen3"
"Cbx8","cor_th1_th2",0.332270120587777,0.301979013590901,0.667729879412223,"ns","ns",0.520023237832133,0.0254830066364555,0.381778187529743,0.382627714757738
"Actb","cor_th1_th2",-0.154682649664333,0.629971596412602,1.15468264966433,"ns","ns",0.200679031180316,0.00983399338976514,0.660196080410447,0.66026931779033
"Maged1","cor_th1_th2",0.151448736638355,0.258411839947041,0.848551263361645,"ns","ns",0.587687591660448,0.0287988030321063,0.485163796530193,0.486017777987259
"Gnat1","cor_th1_th2",0.238611445231681,0.089517893382807,0.761388554768319,"ns","ns",1.04809014657563,0.0513601820413499,0.435328044180403,0.438347321594709
"Sft2d2","cor_th1_th2",0.363398806519607,0.0646660270200153,0.636601193480393,"ns","ns",1.18932382060982,0.0582811393964634,0.363980192170155,0.368616699976511
"Dctn1","cor_th1_th2",0.377777851100138,0.473451188637838,0.622222148899862,"ns","ns",0.324724788778879,0.0159126810985801,0.35575889528406,0.356114595310948
"Sytl3","cor_th1_th2",0.428652009059521,0.161727597921961,0.571347990940479,"ns","ns",0.79121586381332,0.0387724194643247,0.326671318980103,0.328964209535502
"Efr3a","cor_th1_th2",0.349295205187026,0.37575581990317,0.650704794812974,"ns","ns",0.425094284108299,0.0208311469083771,0.372044002882257,0.372626725775502
"Lgals7","cor_th1_th2",0.440572664485405,0.444413214354452,0.559427335514595,"ns","ns",0.352213036059032,0.0172597039562217,0.319855619454021,0.320320955725616
"Atm","cor_th1_th2",0.286841627339084,0.359385090102175,0.713158372660916,"ns","ns",0.444439944535532,0.0217791537611265,0.407752175439285,0.408333403132808
"Atm.1","cor_th1_th2",0.469187278124412,0.129355369059421,0.530812721875588,"ns","ns",0.888215540627471,0.0435257520621018,0.303495058591326,0.306600296284795
"Lgals7.1","cor_th1_th2",0.335325481462404,0.544605844830622,0.664674518537596,"ns","ns",0.263917702026415,0.0129329154217301,0.380031268344411,0.380251265902913
"E330016A19Rik.1","cor_th1_th2",0.37670687545155,0.0930479864382191,0.62329312454845,"ns","ns",1.03129302057977,0.0505370625303636,0.356371231431675,0.359936729553023
