"gene","correlation","value","padj","cor_idx","sig","deg","padj_log10","veclen1","veclen2","veclen3"
"Rbbp7","cor_th2_thmix",0.335169305082451,0.620436697429827,0.664830694917549,"ns","ns",0.207302522560671,0.0101585682597377,0.439085386795106,0.439202884104938
"Actb","cor_th2_thmix",0.00282353052713406,0.629971596412602,0.997176469472866,"ns","ns",0.200679031180316,0.00983399338976514,0.658582130982644,0.658655547821189
"Srp54","cor_th2_thmix",0.487377159276904,0.130803238350994,0.512622840723096,"ns","ns",0.883381503866816,0.0432888668964192,0.338560177831171,0.341316451420453
"Ppp1ca","cor_th2_thmix",0.406976942527125,0.549130660536313,0.593023057472875,"ns","ns",0.260324306918947,0.0127568261535798,0.391660253594619,0.391867950793776
"Rbbp7.1","cor_th2_thmix",0.296710382870176,0.641477170960859,0.703289617129824,"ns","ns",0.192818794787329,0.00944881357164468,0.464485463633306,0.464581560121104
"G3bp1","cor_th2_thmix",0.156694056385301,0.673284704449032,0.843305943614699,"ns","ns",0.171801251637561,0.00841887845989794,0.556958815634398,0.557022441044698
"Sytl3","cor_th2_thmix",0.199291229192357,0.161727597921961,0.800708770807643,"ns","ns",0.79121586381332,0.0387724194643247,0.528825643924142,0.530245096330839
"Malt1","cor_th2_thmix",0.371640973541322,0.834813235333393,0.628359026458678,"ns","ns",0.0784106741409712,0.00384240469297708,0.414997785583624,0.415015573338081
"Eif5a","cor_th2_thmix",0.188059245366777,0.584071035448271,0.811940754633223,"ns","ns",0.233534330238454,0.0114440210635891,0.536243773081285,0.536365873062927
"Jak1","cor_th2_thmix",0.478130749945559,0.0661519911638876,0.521869250054441,"ns","ns",1.17945707908836,0.0577976336194526,0.344666940423147,0.349479421815737
"Sytl3.1","cor_th2_thmix",0.290073621434379,0.159745963224333,0.709926378565621,"ns","ns",0.796570107639345,0.0390347966448534,0.468868692302472,0.47049077139784
"Cd247.2","cor_th2_thmix",0.373698409661474,0.643249172905682,0.626301590338526,"ns","ns",0.191620763536161,0.00939010573687277,0.413638958228736,0.413745527891606
"Rbbp7.4","cor_th2_thmix",0.324834036195322,0.554675984163522,0.675165963804678,"ns","ns",0.255960637386083,0.0125429906716717,0.445911283330312,0.446087658668423
"Elovl1.2","cor_th2_thmix",-0.00102798373481355,0.492519848433868,1.00102798373481,"ns","ns",0.307576262848384,0.0150723417285282,0.661125851725959,0.661297638968684
"Elovl1.3","cor_th2_thmix",0.25324355652856,0.246621062975377,0.74675644347144,"ns","ns",0.607969834701603,0.0297927057972493,0.493192995344566,0.494092031888459
