"gs_name","gene_symbol"
"Tbet_pos","﻿Irx3"
"Tbet_pos","1700025F22Rik"
"Tbet_pos","Cxcr3"
"Tbet_pos","Col6a1"
"Tbet_pos","Ifng"
"Tbet_pos","Ms4a7"
"Tbet_pos","Bst1"
"Tbet_pos","Kcnj8"
"Tbet_pos","Klra5"
"Tbet_pos","Sulf2"
"Tbet_pos","Nod1"
"Tbet_pos","Hopx"
"Tbet_pos","Slamf7"
"Tbet_pos","Klrd1"
"Tbet_pos","Slc24a3"
"Tbet_pos","Gzmk"
"Tbet_pos","Klrc1"
"Tbet_pos","Klrc2"
"Tbet_pos","Klrc3"
"Tbet_pos","Nkg7"
"Tbet_pos","Ctsw"
"Tbet_pos","Tnfsf4"
"Tbet_pos","P2rx3"
"Tbet_pos","Ms4a8a"
"Tbet_pos","Pak6"
"Tbet_pos","Sema6d"
"Tbet_pos","Gcnt1"
"Tbet_pos","Klrk1"
"Tbet_pos","Ptpn5"
"Tbet_pos","Ccl3"
"Tbet_pos","Dennd4a"
"Tbet_pos","Fasl"
"Tbet_pos","Mctp2"
"Tbet_pos","Spnb3"
"Tbet_pos","2900011O08Rik"
"Tbet_pos","Dapk2"
"Tbet_pos","Ccl4"
"Tbet_pos","Gzme"
"Tbet_pos","Gzmd"
"Tbet_pos","Gzmf"
"Tbet_pos","Clnk"
"Tbet_pos","Prss35"
"Tbet_pos","D8Ertd82e"
"Tbet_pos","C1qtnf6"
"Tbet_pos","Atp8b4"
"Tbet_pos","Plxdc2"
"Tbet_pos","Gzmn"
"Tbet_pos","Csf1"
"Tbet_pos","Prf1"
"Tbet_pos","Mmp9"
"Tbet_pos","Prrt1"
"Tbet_pos","Cd38"
"Tbet_pos","Gzmg"
"Tbet_pos","Il12rb2"
"Tbet_pos","Fam19a3"
"Tbet_pos","Vcan"
"Tbet_pos","Pld4"
"Tbet_pos","Amica1"
"Tbet_pos","Gm10684"
"Tbet_pos","Havcr2"
"Tbet_pos","Cxcl10"
"Tbet_pos","Rai14"
"Tbet_pos","Vash1"
"Tbet_pos","Galnt3"
"Tbet_pos","Upp1"
"Tbet_pos","Serpine2"
"Tbet_pos","Tm6sf1"
"Tbet_pos","Dgkh"
"Tbet_pos","Enpp4"
"Tbet_pos","Hlx"
"Tbet_pos","Ccdc102a"
"Tbet_pos","Mycn"
"Tbet_pos","Sema4a"
"Tbet_pos","Gzmc"
"Tbet_pos","Fes"
"Tbet_pos","Ifitm7"
"Tbet_pos","Gpr18"
"Tbet_pos","Mir147"
"Tbet_pos","Bambi-ps1"
"Tbet_pos","Ptger3"
"Tbet_pos","Gramd3"
"Tbet_pos","Spp1"
"Tbet_pos","Arap2"
"Tbet_pos","Adora3"
"Tbet_pos","Fhl2"
"Tbet_pos","I830012O16Rik"
"Tbet_pos","Rras2"
"Tbet_pos","Lgals3"
"Tbet_pos","Txk"
"Tbet_pos","Lrig1"
"Tbet_pos","Pld2"
"Tbet_pos","Sult2b1"
"Tbet_pos","Prnp"
"Tbet_pos","Gpr114"
"Tbet_pos","Ifit3"
"Tbet_pos","Etv5"
"Tbet_pos","Tmem163"
"Tbet_pos","Ppp1r3b"
"Tbet_pos","Me1"
"Tbet_pos","Gdf11"
"Tbet_pos","Epsti1"
"Tbet_pos","Il6st"
"Tbet_pos","Gstm5"
"Tbet_pos","P2ry14"
"Tbet_pos","Lzts1"
"Tbet_pos","Sh3bp2"
"Tbet_pos","Xdh"
"Tbet_pos","Abcb1b"
"Tbet_pos","Rasgrp2"
"Tbet_pos","Emilin2"
"Tbet_pos","Ugcg"
"Tbet_pos","4930525M21Rik"
"Tbet_pos","Ppm1j"
"Tbet_pos","Hbegf"
"Tbet_pos","Dyrk2"
"Tbet_pos","Lax1"
"Tbet_pos","Gem"
"Tbet_pos","Mx1"
"Tbet_pos","Il18r1"
"Tbet_pos","Anxa1"
"Tbet_pos","Ctsd"
"Tbet_pos","Csf2"
"Tbet_pos","Prex1"
"Tbet_pos","Chst11"
"Tbet_pos","Gm14085"
"Tbet_pos","Rhoc"
"Tbet_pos","AA467197"
"Tbet_pos","Errfi1"
"Tbet_pos","Tnks1bp1"
"Tbet_pos","Ffar2"
"Tbet_pos","Ifitm1"
"Tbet_pos","Ust"
"Tbet_pos","Ly6c2"
"Tbet_pos","Gpr97"
"Tbet_pos","2900026A02Rik"
"Tbet_pos","Serpinb9"
"Tbet_pos","Blk"
"Tbet_pos","Ptpre"
"Tbet_pos","Fcho2"
"Tbet_pos","Trp53inp2"
"Tbet_pos","Fam20a"
"Tbet_pos","Hsd11b1"
"Tbet_pos","Rrm2b"
"Tbet_pos","Sntb2"
"Tbet_pos","Sell"
"Tbet_pos","1700025G04Rik"
