gene,module
Aatf,TF
Abl1,TF
Aes,TF
Aff3,TF
Ahr,TF
Aire,TF
Alx1,TF
Alx3,TF
Alx4,TF
Apex1,TF
Ar,TF
Arid1a,TF
Arid1b,TF
Arid2,TF
Arid3a,TF
Arid3b,TF
Arid3c,TF
Arid4a,TF
Arid4b,TF
Arid5a,TF
Arid5b,TF
Arnt,TF
Arnt2,TF
Arntl,TF
Arntl2,TF
Arx,TF
Ascc1,TF
Ascl1,TF
Ascl2,TF
Ascl3,TF
Atf1,TF
Atf2,TF
Atf3,TF
Atf4,TF
Atf5,TF
Atf6,TF
Atf6b,TF
Atf7,TF
Atf7ip,TF
Atm,TF
Atoh1,TF
Atoh7,TF
Atoh8,TF
Atr,TF
Bach1,TF
Bach2,TF
Bag1,TF
Barhl1,TF
Barx1,TF
Barx2,TF
Batf,TF
Batf2,TF
Batf3,TF
Baz1a,TF
Baz2a,TF
Baz2b,TF
Bcl11a,TF
Bcl3,TF
Bcl6,TF
Bcor,TF
Bdp1,TF
Bex1,TF
Bhlha15,TF
Bhlhe22,TF
Bhlhe23,TF
Bhlhe40,TF
Bhlhe41,TF
Bin1,TF
Blzf1,TF
Bmi1,TF
Bmp4,TF
Bmp7,TF
Bptf,TF
Brd4,TF
Brd7,TF
Brf1,TF
Bsx,TF
Btaf1,TF
C1d,TF
Camta2,TF
Cbfa2t3,TF
Ccnt1,TF
Ccnt2,TF
Ccrn4l,TF
Cd3eap,TF
Cdc5l,TF
Cdc6,TF
Cdk7,TF
Cdk8,TF
Cdk9,TF
Cdkn1a,TF
Cdkn2a,TF
Cdx1,TF
Cdx2,TF
Cdx4,TF
Cebpa,TF
Cebpb,TF
Cebpd,TF
Cebpe,TF
Cebpg,TF
Cebpz,TF
Cic,TF
Ciita,TF
Cited1,TF
Cited2,TF
Cited4,TF
Clock,TF
Cnot1,TF
Cnot3,TF
Cnot7,TF
Cops2,TF
Cphx,TF
Creb1,TF
Creb3,TF
Creb3l1,TF
Creb3l3,TF
Creb3l4,TF
Crebbp,TF
Crebzf,TF
Creg1,TF
Crem,TF
Crx,TF
Ctbp1,TF
Ctbp2,TF
Ctcf,TF
Ctcfl,TF
