Target_genes	Stat4|Average	SRX3324130|Natural_Killer_T-Cells	SRX3324132|Natural_Killer_T-Cells	SRX3324134|Natural_Killer_T-Cells	SRX3324136|Natural_Killer_T-Cells	SRX3324138|Natural_Killer_T-Cells	SRX021624|Th1_Cells	SRX021625|Th1_Cells	SRX041279|Th1_Cells	STRING
Psmd3	1202.250000	2588	1857	1491	0	0	2465	0	1217	0
Skap2	1073.250000	1900	1292	1263	0	0	2608	78	1445	0
Sbno2	897.875000	1995	1330	970	0	0	2272	0	616	0
Trappc2l	894.000000	1342	1134	1072	0	0	2750	0	854	0
Galns	894.000000	1342	1134	1072	0	0	2750	0	854	0
Irf9	886.625000	1682	1331	1096	0	0	2625	0	359	0
Icam1	886.500000	1833	1219	1203	0	0	2266	0	571	0
Cuta	843.500000	1696	987	873	0	0	2411	0	781	0
Stat3	834.125000	1653	1099	716	0	0	2455	0	750	0
Smc6	788.625000	1229	1021	817	0	94	2559	0	589	0
Gen1	788.625000	1229	1021	817	0	94	2559	0	589	0
Hnrnpr	769.250000	1439	913	947	0	0	2479	0	376	0
Lsm4	692.625000	1425	915	988	0	0	1993	0	220	0
Runx1	691.000000	1363	734	762	0	0	1966	0	703	0
B3gntl1	663.750000	854	539	598	0	0	2705	0	614	0
Cic	658.500000	1397	1099	1077	0	0	1437	0	258	0
Il18rap	657.250000	1469	561	519	0	0	2373	0	336	0
Rhoq	655.375000	1403	686	512	0	0	2359	0	283	0
Ankrd28	643.625000	1094	577	385	0	0	2435	0	658	0
Mettl4	637.000000	1894	519	653	0	0	2030	0	0	0
Irf8	632.375000	666	682	547	0	197	2448	0	519	0
Rab4b	627.375000	951	626	475	0	0	2370	0	597	0
Myd88	625.250000	983	570	462	0	0	2391	0	596	0
Socs3	618.500000	1270	683	639	0	0	1651	0	705	0
Arih1	617.250000	1192	462	486	0	69	2349	0	380	0
Ergic2	615.875000	1063	611	564	0	0	2225	0	464	0
Irf1	588.625000	1136	770	514	0	0	1862	0	427	0
Fastk	586.375000	1001	864	772	0	0	1800	0	254	0
Lilr4b	585.625000	1204	670	773	0	0	2038	0	0	0
Lilrb4a	584.000000	1252	667	686	0	0	2067	0	0	0
Gpr146	574.750000	933	855	830	0	0	1401	0	579	0
Cds2	573.500000	1358	517	508	0	120	2085	0	0	0
Tnfaip8	568.750000	683	380	286	0	0	2484	0	717	0
Stat5a	559.500000	1086	497	267	0	0	2021	0	605	0
Utp23	555.500000	1289	836	877	0	0	1294	0	148	0
Akt2	555.250000	1259	486	498	0	0	1784	0	415	0
Tedc2	554.625000	623	611	707	0	0	2219	0	277	0
Pih1d1	552.375000	816	348	372	0	0	2550	0	333	0
Aldh16a1	552.375000	816	348	372	0	0	2550	0	333	0
Camta1	549.750000	720	507	519	0	0	2259	0	393	0
Cep128	548.000000	833	385	412	0	0	2294	0	460	0
Zfp58	542.625000	877	458	566	0	0	2282	0	158	0
Usp38	537.500000	1149	368	627	0	0	1693	0	463	0
Tap1	534.000000	852	392	228	0	0	2305	0	495	0
Psmb9	534.000000	852	392	228	0	0	2305	0	495	0
Casp4	531.625000	1128	596	333	0	0	2045	0	151	0
Atf7ip	530.625000	1196	339	325	0	0	2385	0	0	0
Srebf1	529.625000	734	338	271	0	0	2376	0	518	0
Cfap126	526.750000	936	482	338	0	0	2127	0	331	0
Crem	521.250000	1073	524	499	0	0	2074	0	0	0
Ccdc150	507.250000	248	0	0	0	0	2693	0	1117	0
Ly6a	506.625000	1073	326	0	0	0	2362	0	292	0
Nipsnap3b	505.500000	473	305	256	0	0	2484	0	526	0
Nup153	491.125000	485	187	305	0	159	2500	143	150	0
Eef1aknmt	487.500000	863	538	530	0	0	1969	0	0	0
Sde2	484.875000	517	142	290	0	94	2572	0	264	0
Cmtm6	478.125000	306	285	222	0	0	2586	0	426	0
Crebrf	474.500000	773	496	500	0	102	1925	0	0	0
Katnb1	472.000000	1060	746	435	0	0	1328	0	207	0
Kdm5c	470.250000	570	285	212	0	0	2254	0	441	0
Zfp473	469.375000	422	196	327	0	0	2396	0	414	0
Vrk3	469.375000	422	196	327	0	0	2396	0	414	0
Hsp90aa1	468.250000	769	442	390	0	192	1287	0	666	0
Taf4b	462.125000	404	205	470	0	125	2198	0	295	0
Kri1	456.250000	354	133	0	0	0	2393	0	770	0
Sytl3	453.875000	777	229	227	0	0	2038	0	360	0
Get4	450.375000	1292	455	368	0	0	1488	0	0	0
Gclm	450.000000	1578	314	251	0	111	1146	0	200	0
Serpina3g	447.500000	1016	596	349	0	0	1619	0	0	0
Serpina3f	447.500000	1016	596	349	0	0	1619	0	0	0
Furin	446.250000	1227	478	0	0	0	1865	0	0	0
Huwe1	445.875000	596	275	263	0	0	2064	0	369	0
Fam160a2	440.500000	531	359	247	0	0	1916	0	471	0
Orc4	439.875000	622	241	310	0	0	1913	0	433	0
Mbd5	439.875000	622	241	310	0	0	1913	0	433	0
Gatad2a	439.750000	636	264	388	0	85	1885	0	260	0
Nsun4	435.000000	455	285	415	0	0	2073	0	252	0
Tcp1	430.250000	609	282	244	0	0	2190	0	117	0
Mrpl18	430.250000	609	282	244	0	0	2190	0	117	0
Mrpl52	428.625000	763	370	372	0	0	1667	0	257	0
Lpp	428.125000	798	199	148	0	0	2122	0	158	0
Tbc1d15	420.125000	975	285	454	0	0	1444	0	203	0
Cox7a2	416.500000	787	348	294	0	0	1781	0	122	0
Bcl6	411.250000	1591	657	709	0	0	333	0	0	0
Chkb	410.625000	497	333	366	0	0	1886	0	203	0
Gtf2a2	409.875000	569	370	514	0	0	1826	0	0	0
Man1a	404.625000	816	438	557	0	0	1209	0	217	0
Serpinb6a	403.250000	870	522	517	0	0	1072	0	245	0
Ripk1	403.250000	870	522	517	0	0	1072	0	245	0
Taf11	402.375000	234	0	0	0	0	2615	0	370	0
Anks1	402.375000	234	0	0	0	0	2615	0	370	0
Stag1	401.250000	456	142	322	0	77	1874	0	339	0
Ccnt2	391.875000	394	215	103	0	0	2097	0	326	0
1810013L24Rik	389.750000	646	338	368	0	0	1525	0	241	0
Ubb	389.000000	378	289	162	0	69	2027	0	187	0
Sltm	387.000000	239	196	137	0	0	2339	0	185	0
Bhlhe40	381.250000	741	225	172	0	0	1611	0	301	0
Fkbp3	374.875000	167	0	0	0	0	2832	0	0	0
Snu13	374.000000	558	244	312	0	0	1878	0	0	0
Il18r1	368.875000	303	204	0	0	0	2276	0	168	0
Tes	364.375000	1156	274	220	0	0	1265	0	0	0
Terf2ip	364.000000	795	543	593	0	0	981	0	0	0
Kars	364.000000	795	543	593	0	0	981	0	0	0
Cish	363.250000	711	327	457	0	0	1105	0	306	0
Surf6	361.000000	217	0	202	0	159	2178	0	132	0
Ubr1	358.000000	793	295	578	0	0	1086	0	112	0
Eapp	356.125000	945	760	430	0	143	571	0	0	0
Slc25a30	355.875000	266	215	137	0	0	1724	0	505	0
Cast	355.125000	445	168	316	0	0	1742	0	170	0
Cndp2	353.000000	618	0	183	0	0	1814	0	209	0
Nkg7	351.250000	899	289	162	0	0	1460	0	0	0
Zbp1	351.000000	829	264	263	0	0	1358	0	94	0
Ube2l3	345.875000	440	159	183	0	0	1758	0	227	0
Gbp7	344.500000	572	0	232	0	0	1755	0	197	0
Prps1	343.875000	337	187	316	0	0	1784	0	127	0
Psmc2	342.375000	0	0	0	0	0	2578	0	161	0
Dnajc2	342.375000	0	0	0	0	0	2578	0	161	0
Plec	341.875000	288	311	246	0	0	1603	0	287	0
Adck1	337.875000	396	0	192	0	0	1985	0	130	0
Nsmce1	331.625000	498	306	221	0	0	1628	0	0	0
Nfkb2	331.375000	629	303	273	0	149	1297	0	0	0
Klhdc2	326.875000	152	0	0	0	0	2463	0	0	0
Rnf31	326.125000	538	225	390	0	0	1221	0	235	0
Psme2	326.125000	538	225	390	0	0	1221	0	235	0
Tars	322.750000	277	116	155	0	0	1843	0	191	0
Ptpn22	322.750000	364	70	222	0	156	1770	0	0	0
Uxt	321.750000	157	0	0	0	0	2417	0	0	0
Gnai3	321.125000	270	0	183	0	0	1886	0	230	0
Atf2	319.625000	388	0	252	0	0	1917	0	0	0
Parp9	317.875000	292	0	0	0	0	2071	0	180	0
Dtx3l	317.875000	292	0	0	0	0	2071	0	180	0
Prorsd1	316.250000	130	142	164	0	0	2094	0	0	0
Txn2	316.000000	621	316	372	0	0	1219	0	0	0
Prodh	315.000000	281	0	0	0	0	2086	0	153	0
Atg16l1	314.625000	501	0	232	0	0	1676	0	108	0
Mpzl3	313.625000	594	150	183	0	0	1316	0	266	0
Psap	312.250000	130	0	222	0	0	2146	0	0	0
Nsrp1	311.875000	0	0	0	0	0	2495	0	0	0
Fam104a	310.875000	294	0	192	0	0	1689	0	312	0
D11Wsu47e	310.875000	294	0	192	0	0	1689	0	312	0
Atp6v0d2	308.625000	0	0	0	0	0	2469	0	0	0
Etv6	307.375000	451	144	170	0	0	1383	0	311	0
Rnh1	307.250000	577	215	0	0	0	1487	0	179	0
Orai1	306.625000	217	187	212	0	0	1837	0	0	0
Lag3	305.125000	0	0	0	0	0	2293	0	148	0
Dennd11	303.125000	0	0	0	0	0	2425	0	0	0
Slx1b	301.875000	0	0	0	0	0	2415	0	0	0
Bola2	301.875000	0	0	0	0	0	2415	0	0	0
Abhd11	301.375000	555	150	370	0	102	1234	0	0	0
Irf2	300.500000	784	240	317	0	0	932	0	131	0
H13	300.375000	187	168	263	0	0	1695	0	90	0
Smg7	299.000000	0	0	0	0	0	2392	0	0	0
Xrcc6	298.625000	177	0	155	0	0	2057	0	0	0
Desi1	298.625000	177	0	155	0	0	2057	0	0	0
Mrpl17	295.875000	266	159	195	0	0	1596	0	151	0
Gbp5	294.375000	928	254	166	0	0	1007	0	0	0
Sbno1	292.500000	410	142	164	0	0	1624	0	0	0
Smc1a	292.375000	0	0	0	0	0	2339	0	0	0
Ribc1	292.375000	0	0	0	0	0	2339	0	0	0
Fas	290.500000	510	125	95	0	0	1385	0	209	0
Zfand5	289.125000	289	0	0	0	0	1876	0	148	0
Tlnrd1	289.000000	0	0	0	0	0	2312	0	0	0
Mesd	289.000000	0	0	0	0	0	2312	0	0	0
Eef2kmt	285.875000	170	0	0	0	0	1619	0	498	0
Gm10130	285.375000	446	254	261	0	0	1073	0	249	0
Sphk1	284.375000	197	0	0	0	0	1982	0	96	0
Vps28	282.500000	269	0	0	0	0	1991	0	0	0
Zfp317	282.125000	319	150	173	0	149	1466	0	0	0
Gadd45b	281.750000	827	227	175	0	0	767	0	258	0
Tbc1d32	281.125000	0	0	0	0	0	2107	0	142	0
Maf	281.000000	0	0	0	0	0	2248	0	0	0
Shoc2	280.875000	236	0	82	0	0	1929	0	0	0
Bbip1	280.875000	236	0	82	0	0	1929	0	0	0
Dnajc13	279.875000	428	205	420	0	0	1186	0	0	0
Nudcd1	278.375000	372	0	202	0	0	1536	0	117	0
Eny2	278.375000	372	0	202	0	0	1536	0	117	0
Gpr18	278.125000	633	0	0	0	101	1491	0	0	0
Maff	278.000000	356	215	122	0	0	1401	0	130	0
Klrc2	277.750000	686	125	230	0	0	1181	0	0	0
Wdr48	275.375000	252	0	128	0	0	1660	0	163	0
Tmed7	275.250000	248	0	187	0	0	1574	0	193	0
Eif1a	275.250000	248	0	187	0	0	1574	0	193	0
Fam110b	274.250000	0	0	0	0	0	2194	0	0	0
Slc41a1	273.750000	280	187	296	0	0	1153	0	274	0
Klrc3	273.500000	796	147	180	0	102	963	0	0	0
Virma	273.375000	360	205	395	0	0	1227	0	0	0
Ubr7	272.000000	243	159	222	0	0	1298	0	254	0
Gon7	272.000000	243	159	222	0	0	1298	0	254	0
Gm20604	272.000000	243	159	222	0	0	1298	0	254	0
Nudt8	270.250000	281	0	145	0	0	1405	0	331	0
Med31	267.875000	177	0	0	0	0	1966	0	0	0
4930563E22Rik	267.875000	177	0	0	0	0	1966	0	0	0
Nemp1	267.000000	621	234	580	0	0	701	0	0	0
Gtdc1	265.375000	143	0	115	0	0	1697	0	168	0
Gimap5	265.375000	506	169	0	0	0	1448	0	0	0
Ptpn2	261.250000	790	318	185	0	0	797	0	0	0
Arrdc2	260.000000	299	133	211	0	0	1292	0	145	0
Naprt	259.750000	0	0	0	0	0	1953	0	125	0
Snrpd3	259.000000	392	150	164	0	0	1205	0	161	0
Gucd1	259.000000	392	150	164	0	0	1205	0	161	0
Egr2	258.625000	880	166	138	0	0	885	0	0	0
Il6st	257.875000	202	0	287	0	0	1398	0	176	0
Rrp12	256.750000	207	0	0	0	0	1428	0	419	0
Bcl2l1	256.250000	0	0	0	0	0	1777	113	160	0
Qars	255.625000	418	187	273	0	0	904	0	263	0
Gadd45a	255.375000	275	0	164	0	0	1482	0	122	0
Zfp446	255.250000	139	0	0	0	0	1778	0	125	0
Phax	254.500000	227	0	0	0	0	1809	0	0	0
Aldh7a1	254.500000	227	0	0	0	0	1809	0	0	0
1110002E22Rik	254.500000	612	149	135	0	0	1140	0	0	0
Mcl1	254.125000	523	251	287	0	0	972	0	0	0
Ahi1	252.750000	187	0	164	0	0	1671	0	0	0
Eif5a	252.125000	411	0	157	0	77	1206	0	166	0
Thg1l	251.375000	122	205	212	0	0	1472	0	0	0
Mob3c	250.375000	336	275	316	0	0	921	0	155	0
Polr2a	250.125000	432	317	314	0	224	714	0	0	0
Mrm3	249.000000	217	0	0	0	0	1775	0	0	0
Glod4	249.000000	217	0	0	0	0	1775	0	0	0
Sugct	248.750000	550	251	228	0	0	961	0	0	0
Mplkip	248.750000	550	251	228	0	0	961	0	0	0
Hmgn2	246.875000	168	0	0	0	130	1677	0	0	0
Tlcd1	246.500000	732	154	0	0	0	934	0	152	0
Nek8	246.500000	732	154	0	0	0	934	0	152	0
