Target_genes	Stat6|Average	SRX197271|Macrophages	SRX197272|Macrophages	SRX6432727|Macrophages	SRX6432728|Macrophages	SRX021632|Th1_Cells	SRX021633|Th1_Cells	SRX191132|Th9	SRX353406|Th9	SRX353407|Th9	STRING
Socs1	1502.333333	0	3349	1954	2292	1322	0	447	1863	2294	0
H1f8	1331.888889	0	2453	1222	1857	1598	0	1211	2144	1502	0
Rhoq	1095.888889	0	1088	1228	1506	1674	0	631	1638	2098	0
Zkscan6	1055.888889	0	2142	1966	2375	1050	0	485	1001	484	0
Zfp362	1038.111111	0	392	757	1237	1495	0	1358	2087	2017	0
Poli	978.555556	0	3186	558	1140	767	0	356	1665	1135	0
Atp10d	976.666667	0	1035	958	959	1999	0	1105	1323	1411	0
Oas1c	956.222222	0	2229	626	909	1134	0	688	1568	1452	0
Oas1b	956.222222	0	2229	626	909	1134	0	688	1568	1452	0
Ralgds	954.444444	0	2986	2108	2342	814	0	0	340	0	0
Bcl6	915.555556	0	2077	1010	798	551	211	342	1269	1982	0
Irf9	905.555556	0	210	0	261	2039	306	1086	2092	2156	0
Arf6	899.000000	0	1292	555	881	1048	0	403	2118	1794	0
Hdac4	894.777778	0	979	429	409	1763	433	1015	1314	1711	0
Med7	883.222222	0	1578	584	730	1485	0	375	1381	1816	0
Tctex1d4	858.333333	0	1655	786	1011	1669	0	369	1176	1059	0
Btbd19	858.333333	0	1655	786	1011	1669	0	369	1176	1059	0
Ubald2	835.444444	0	1653	465	553	1428	97	573	2064	686	0
Elmo2	826.333333	0	0	0	61	1825	76	648	2686	2141	0
Sft2d2	826.000000	0	2976	886	1459	596	0	241	1276	0	0
Aar2	808.222222	0	1167	755	1309	1459	0	561	809	1214	0
Cnr2	766.555556	0	1890	500	702	1257	0	327	1212	1011	0
Plekhf1	766.111111	0	699	1137	1762	1015	0	588	819	875	0
Crem	763.000000	0	1763	778	970	850	91	446	1495	474	0
D630039A03Rik	752.777778	0	0	0	0	1580	0	780	2205	2210	0
Tes	714.555556	0	1879	399	709	516	0	289	1998	641	0
Tfec	687.333333	0	3231	993	1962	0	0	0	0	0	0
Atl2	686.777778	0	487	132	145	1564	0	690	1476	1687	0
Lrmp	675.444444	0	425	307	483	1632	0	584	1384	1264	0
Picalm	673.777778	0	2332	652	1136	634	394	0	814	102	0
Mink1	667.555556	0	1306	1009	1487	881	0	132	625	568	0
Zfp623	659.555556	0	1654	1194	1490	449	0	467	397	285	0
Ifngr2	650.888889	0	543	606	832	1846	0	575	658	798	0
Pik3cd	643.888889	0	2209	241	454	1270	0	240	916	465	0
